OBJECTID,TREE_LEVEL,GEOL_CODE_INT,GEOL_CODE,PARENT_REF,GERMAN
212,4.0,15103022,Vlit403022,15103005.0,nephelinitischer Syenit
213,4.0,15103023,Vlit403023,15103005.0,Essexit
214,4.0,15103024,Vlit403024,15103005.0,Granophyr
215,3.0,15103026,Vlit403026,15103003.0,"Ganggestein, undifferenziert"
216,4.0,15103027,Vlit403027,15103026.0,Mikrogranit
217,4.0,15103028,Vlit403028,15103026.0,Rhyolithporphyr
218,4.0,15103029,Vlit403029,15103026.0,Pegmatit
219,4.0,15103030,Vlit403030,15103026.0,Aplit
220,4.0,15103031,Vlit403031,15103026.0,Mikrodiorit
221,4.0,15103032,Vlit403032,15103026.0,Mikrogabbro
222,4.0,15103033,Vlit403033,15103026.0,Lamprophyr
223,4.0,15103034,Vlit403034,15103026.0,Pikrit (Intrusivgestein)
224,4.0,15103035,Vlit403035,15103026.0,Dolerit
191,2.0,15103037,Vlit403037,15103001.0,"Extrusivgestein, undifferenziert"
225,3.0,15103039,Vlit403039,15103037.0,"Ergussgestein, undifferenziert"
226,4.0,15103040,Vlit403040,15103039.0,Alkalirhyolith
227,4.0,15103041,Vlit403041,15103039.0,Rhyolith
228,4.0,15103042,Vlit403042,15103039.0,Rhyodazit
229,4.0,15103043,Vlit403043,15103039.0,Dazit
230,4.0,15103044,Vlit403044,15103039.0,Quarzandesit
231,4.0,15103045,Vlit403045,15103039.0,Andesit
232,4.0,15103046,Vlit403046,15103039.0,Alkalitrachyt
233,4.0,15103047,Vlit403047,15103039.0,Trachyt
234,4.0,15103048,Vlit403048,15103039.0,Basalt
235,4.0,15103049,Vlit403049,15103039.0,Pikrit (Effusiva)
236,4.0,15103050,Vlit403050,15103039.0,Phonolith
237,4.0,15103051,Vlit403051,15103039.0,Karbonatit
238,3.0,15103053,Vlit403053,15103036.0,"pyroklastisches Gestein, undifferenziert (vulkanischer Tuff, > 75 % pyroklast. Komp.)"
239,4.0,15103054,Vlit403054,15103053.0,Ignimbrit
240,4.0,15103055,Vlit403055,15103053.0,Pyroklastische Brekzie
241,4.0,15103056,Vlit403056,15103053.0,Lapillituff
242,4.0,15103057,Vlit403057,15103053.0,Kristalltuff
243,4.0,15103058,Vlit403058,15103053.0,Aschentuff
244,3.0,15103060,Vlit403060,15103036.0,"Tuffit, undifferenziert (pyroklast. und nicht vulk. Sedimente, 75-25 % pyroklast. Komp.)"
245,4.0,15103061,Vlit403061,15103060.0,tuffitische Brekzie
246,4.0,15103062,Vlit403062,15103060.0,tuffitisches Konglomerat
247,4.0,15103063,Vlit403063,15103060.0,tuffitischer Sandstein
248,4.0,15103064,Vlit403064,15103060.0,tuffitischer Siltstein
249,4.0,15103065,Vlit403065,15103060.0,tuffitischer Tonstein
250,4.0,15103066,Vlit403066,15103060.0,Bentonit
2008,4.0,15103067,Vlit403067,15103026.0,saures Ganggestein
2009,4.0,15103068,Vlit403068,15103026.0,basisches Ganggestein
2648,1.0,15103069,Vlit403069,0.0,Basisches Gestein
2647,1.0,15103070,Vlit403070,0.0,Ultrabasisches Gestein
251,1.0,15104001,Vlit404001,0.0,Metamorphit
252,2.0,15104002,Vlit404002,15104001.0,Gestein der Störungszone
256,3.0,15104003,Vlit404003,15104002.0,"Gestein der Störungszone, undifferenziert"
335,3.0,15104005,Vlit404005,15104002.0,"Kakirit, undifferenziert"
336,4.0,15104006,Vlit404006,15104005.0,Gesteinsmehl
337,4.0,15104007,Vlit404007,15104005.0,Kluftletten
338,4.0,15104008,Vlit404008,15104005.0,tektonische Brekzie (kohäsionslos)
339,3.0,15104010,Vlit404010,15104002.0,"Kataklasit, undifferenziert"
340,4.0,15104011,Vlit404011,15104010.0,Rauwacke (Kataklasit)
341,4.0,15104012,Vlit404012,15104010.0,tektonische Dolomitbrekzie
342,4.0,15104013,Vlit404013,15104010.0,tektonische Brekzie (mit Kohäsion)
343,4.0,15104014,Vlit404014,15104010.0,Protokataklasit
344,4.0,15104015,Vlit404015,15104010.0,(Meso)Kataklasit
345,4.0,15104016,Vlit404016,15104010.0,Ultrakataklasit
346,3.0,15104018,Vlit404018,15104002.0,"Mylonit, undifferenziert"
347,4.0,15104019,Vlit404019,15104018.0,Protomylonit
348,4.0,15104020,Vlit404020,15104018.0,Mylonit
349,4.0,15104021,Vlit404021,15104018.0,Ultramylonit
350,3.0,15104023,Vlit404023,15104002.0,Phyllonit
351,3.0,15104025,Vlit404025,15104002.0,Pseudotachylit
262,2.0,15104027,Vlit404027,15104001.0,"Gestein der Regional- und Kontaktmetamorphose, undifferenziert"
352,3.0,15104029,Vlit404029,15104027.0,Phyllit
353,3.0,15104031,Vlit404031,15104027.0,"Schiefer, undifferenziert"
354,4.0,15104032,Vlit404032,15104031.0,Tonschiefer (Schiefer)
355,4.0,15104033,Vlit404033,15104031.0,Serizitschiefer
356,4.0,15104034,Vlit404034,15104031.0,Chloritschiefer
357,4.0,15104035,Vlit404035,15104031.0,Glimmerschiefer
358,4.0,15104036,Vlit404036,15104031.0,Glaukophanschiefer
359,4.0,15104037,Vlit404037,15104031.0,Kalkschiefer
360,4.0,15104038,Vlit404038,15104031.0,Prasinit
361,4.0,15104039,Vlit404039,15104031.0,Talkschiefer
362,4.0,15104041,Vlit404041,15104026.0,"Gneis, undifferenziert"
363,4.0,15104042,Vlit404042,15104041.0,Augengneis
364,4.0,15104043,Vlit404043,15104041.0,Bändergneis
365,4.0,15104044,Vlit404044,15104041.0,Adergneis
