OBJECTID,TREE_LEVEL,GEOL_CODE_INT,GEOL_CODE,PARENT_REF,GERMAN
369,5.0,15200214,Vlit500214,15200134.0,Saalhof-Bank
370,5.0,15200215,Vlit500215,15200464.0,Fützen-Bank
372,4.0,15200216,Vlit500216,15200135.0,Dolomitzone
389,2.0,15200217,Vlit500217,15200158.0,Oberer Schuttfächer
390,2.0,15200218,Vlit500218,15200158.0,Playa-Serie
391,2.0,15200219,Vlit500219,15200158.0,Unterer Schuttfächer
392,3.0,15200220,Vlit500220,15200617.0,Spät- bis postvariszische Intrusiva der Nordschweiz
386,1.0,15200221,Vlit500221,0.0,Permo-Karbon der Nordschweiz
393,2.0,15200222,Vlit500222,15200220.0,Stockberg-Quarzporphyr
394,2.0,15200223,Vlit500223,15200220.0,Bärhalde-Granit
395,2.0,15200224,Vlit500224,15200220.0,Schluchsee-Granit
396,2.0,15200225,Vlit500225,15200220.0,Säckingen-Granit
399,3.0,15200226,Vlit500226,15200159.0,Jüngere Flussablagerungen
400,3.0,15200227,Vlit500227,15200159.0,Seeablagerungen
401,3.0,15200228,Vlit500228,15200159.0,Ältere Flussablagerungen
402,4.0,15200229,Vlit500229,15200228.0,Kohle-Serie
403,3.0,15200230,Vlit500230,15200617.0,Frühvariszische Intrusiva der Nordschweiz
404,2.0,15200231,Vlit500231,15200230.0,Albtal-Granit
405,2.0,15200232,Vlit500232,15200230.0,Malsburg-Granit
406,2.0,15200233,Vlit500233,15200230.0,Blauen-Granit
407,2.0,15200234,Vlit500234,15200230.0,Klemmbach-Granit
408,2.0,15200235,Vlit500235,15200230.0,Randgranit
409,2.0,15200236,Vlit500236,15200230.0,Münsterhalden-Granit
410,2.0,15200237,Vlit500237,15200230.0,Schönau-Herrenschwand-Granit
411,2.0,15200238,Vlit500238,15200230.0,St.-Blasien-Granit
412,2.0,15200239,Vlit500239,15200230.0,Mambach-Granit
413,2.0,15200240,Vlit500240,15200230.0,Lenzkirch-Steina-Granit
414,2.0,15200241,Vlit500241,15200230.0,Hauenstein-Granit
415,2.0,15200242,Vlit500242,15200230.0,Böttstein-Granit
416,3.0,15200243,Vlit500243,15200617.0,Prä- und frühvariszische Sedimente und Vulkanite der Nordschweiz
417,2.0,15200244,Vlit500244,15200243.0,Schiefer und Grauwacken
418,3.0,15200245,Vlit500245,15200617.0,Prävariszisches polyzyklisches Grundgebirge der Nordschweiz
