OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN,TREE_LEVEL,PARENT_REF
81,15101082,Vlit401082,"Travertin (Kalksinter, Lockergestein)",3.0,15101081.0
406,15104091,Vlit404091,Quarzit (monomineralischer Metamorphit),3.0,15104084.0
255,15104092,Vlit404092,Metamorphit (Protolith erkennbar),2.0,15104001.0
375,15104055,Vlit404055,Marmor (Fels),4.0,15104053.0
289,15104095,Vlit404095,Metamorphit (magmatischer Protolith erkennbar),3.0,15104092.0
354,15104032,Vlit404032,Tonschiefer (Schiefer),4.0,15104031.0
62,15101031,Vlit401031,glazifluviatiler Schotter,4.0,15101028.0
150,15102057,Vlit402057,Lignit (organisches Sedimentgestein),4.0,15102056.0
210,15103020,Vlit403020,Pyroxenit (Intrusivgestein),4.0,15103005.0
211,15103021,Vlit403021,Peridotit (Intrusivgestein),4.0,15103005.0
270,15104093,Vlit404093,Metamorphit (sedimentärer Protolith erkennbar),3.0,15104092.0
69,15101040,Vlit401040,fluviatiler Schotter,4.0,15101039.0
106,15102005,Vlit402005,"Konglomerat und Brekzie, undifferenziert (Psephit, Korngrösse: Kies, Steine und Blöcke)",4.0,15102003.0
285,15104215,Vlit404215,Marmor (sedimentärer Protolith),4.0,15104093.0
72,15101047,Vlit401047,glazilakustrisches Deltasediment,4.0,15101046.0
223,15103034,Vlit403034,Pikrit (Intrusivgestein),4.0,15103026.0
163,15102076,Vlit402076,Rauwacke (Sedimentgestein),4.0,15102075.0
164,15102077,Vlit402077,"Quelltuff (Kalksinter, Sedimentgestein)",4.0,15102075.0
165,15102078,Vlit402078,"Travertin (Kalksinter, Sedimentgestein)",4.0,15102075.0
399,15104084,Vlit404084,"monomineralischer Metamorphit, undifferenziert",2.0,15104001.0
31,15101057,Vlit401057,lakustrisches Deltasediment,3.0,15101044.0
2007,15104448,Vlit404448,tektonische Kalkbrekzie,4.0,15104011.0
2008,15103067,Vlit403067,saures Ganggestein,4.0,15103026.0
2009,15103068,Vlit403068,basisches Ganggestein,4.0,15103026.0
2010,15102109,Vlit402109,Dolomitbrekzie,4.0,15102049.0
2011,15104447,Vlit404447,ultramafisches Gestein,4.0,15104053.0
2968,15101001,Vlit401001,Lockergestein,1.0,0.0
2647,15103070,Vlit403070,Ultrabasisches Gestein,1.0,0.0
2648,15103069,Vlit403069,Basisches Gestein,1.0,0.0
2649,15101085,Vlit401085,Tsunamiablagerung,3.0,15101044.0
2651,15101087,Vlit401087,Sedimentärer Gang (clastic dike),3.0,15101086.0
244,15103060,Vlit403060,"Tuffit, undifferenziert (pyroklast. und nicht vulk. Sedimente, 75-25 % pyroklast. Komp.)",3.0,15103036.0
21,15101026,Vlit401026,"fluviatiles Sediment, undifferenziert",2.0,15101001.0
10,15101003,Vlit401003,"gravitative Sedimente und Verwitterungsbildungen, undifferenziert",3.0,15101001.0
39,15101061,Vlit401061,"äolisches Sediment, undifferenziert",2.0,15101001.0
362,15104041,Vlit404041,"Gneis, undifferenziert",4.0,15104026.0
43,15101067,Vlit401067,"anthropogene Elemente, undifferenziert",2.0,15101001.0
238,15103053,Vlit403053,"pyroklastisches Gestein, undifferenziert (vulkanischer Tuff, > 75 % pyroklast. Komp.)",3.0,15103036.0
386,15104067,Vlit404067,Hornfels,4.0,15104066.0
9,15101075,Vlit401075,dünne Lockermaterialbedeckung,2.0,15101001.0
26,15101044,Vlit401044,"lakustrisches Sediment, undifferenziert",2.0,15101001.0
373,15104053,Vlit404053,"Fels, undifferenziert",3.0,15104026.0
109,15102009,Vlit402009,"Sandstein, undifferenziert (Psammit: Sandkorngrösse)",3.0,15102002.0
80,15101081,Vlit401081,hydrochemische Bildungen (Kalksinter),2.0,15101001.0
6,15101050,Vlit401050,palustrisches Sediment,2.0,15101001.0
19,15101019,Vlit401019,"glazigenes Sediment, undifferenziert",2.0,15101001.0
2650,15101086,Vlit401086,Entwässerungssediment,2.0,15101001.0
2327,15101084,Vlit401084,strukturierter Hangschutt,,15101009.0
