OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN,TREE_LEVEL,PARENT_REF
138,15103030.0,Vlit403030,Aplit,4.0,15103026.0
100,15102105.0,Vlit402105,kreidiger Kalk,4.0,15102034.0
175,15104003.0,Vlit404003,"Gestein der Störungszone, undifferenziert",3.0,15104002.0
192,15104203.0,Vlit404203,Metabrekzie,4.0,15104093.0
277,15104036.0,Vlit404036,Glaukophanschiefer,4.0,15104031.0
136,15103028.0,Vlit403028,Rhyolithporphyr,4.0,15103026.0
127,15103018.0,Vlit403018,Monzogabbro,4.0,15103005.0
249,15104441.0,Vlit404441,Metabasalt,4.0,15104095.0
200,15104211.0,Vlit404211,Metapelit,4.0,15104093.0
209,15104401.0,Vlit404401,Metamagmatit,4.0,15104095.0
153,15103048.0,Vlit403048,Basalt,4.0,15103039.0
51,15102036.0,Vlit402036,Spatkalk,4.0,15102034.0
146,15103041.0,Vlit403041,Rhyolith,4.0,15103039.0
283,15104043.0,Vlit404043,Bändergneis,4.0,15104041.0
301,15104062.0,Vlit404062,Schollenamphibolit,4.0,15104053.0
1606,15104096.0,Vlit404096,Quarzschiefer,4.0,15104031.0
1608,15104098.0,Vlit404098,Grünschiefer,4.0,15104031.0
95,15102100.0,Vlit402100,Echinodermenkalk,4.0,15102034.0
1607,15104097.0,Vlit404097,Granat-Glimmerschiefer,4.0,15104031.0
1286,15104099.0,Vlit404099,Ophikalzit,4.0,15104084.0
3229,,,méta-bauxite,,0.0
3527,,,,,0.0
157,15103053.0,Vlit403053,"pyroklastisches Gestein, undifferenziert (vulkanischer Tuff, > 75 % pyroklast. Komp.)",3.0,15103036.0
305,15104067.0,Vlit404067,Hornfels,4.0,15104066.0
1930,15104447.0,Vlit404447,ultramafisches Gestein,4.0,15104053.0
281,15104041.0,Vlit404041,"Gneis, undifferenziert",4.0,15104026.0
204,15104215.0,Vlit404215,Marmor (sedimentärer Protolith),4.0,15104093.0
202,15104213.0,Vlit404213,Tonschiefer (sedimentärer Protolith),4.0,15104093.0
322,15104088.0,Vlit404088,Pyroxenit (monomineralischer Metamorphit),3.0,15104084.0
28,15102009.0,Vlit402009,"Sandstein, undifferenziert (Psammit: Sandkorngrösse)",3.0,15102002.0
1928,15103068.0,Vlit403068,basisches Ganggestein,4.0,15103026.0
26,15102006.0,Vlit402006,Brekzie,4.0,15102005.0
86,15102084.0,Vlit402084,siderolithische Verwitterungsbildungen,3.0,15102080.0
304,15104065.0,Vlit404065,Peridotit (Metamorphit),4.0,15104053.0
154,15103049.0,Vlit403049,Pikrit (Effusiva),4.0,15103039.0
195,15104206.0,Vlit404206,Quarzit (sedimentärer Protolith),4.0,15104093.0
142,15103034.0,Vlit403034,Pikrit (Intrusivgestein),4.0,15103026.0
292,15104053.0,Vlit404053,"Fels, undifferenziert",3.0,15104026.0
2246,15103070.0,Vlit403070,Ultrabasisches Gestein,1.0,0.0
174,15104092.0,Vlit404092,Metamorphit (Protolith erkennbar),2.0,15104001.0
130,15103021.0,Vlit403021,Peridotit (Intrusivgestein),4.0,15103005.0
25,15102005.0,Vlit402005,"Konglomerat und Brekzie, undifferenziert (Psephit, Korngrösse: Kies, Steine und Blöcke)",4.0,15102003.0
325,15104091.0,Vlit404091,Quarzit (monomineralischer Metamorphit),3.0,15104084.0
294,15104055.0,Vlit404055,Marmor (Fels),4.0,15104053.0
1926,15104448.0,Vlit404448,tektonische Kalkbrekzie,4.0,15104011.0
273,15104032.0,Vlit404032,Tonschiefer (Schiefer),4.0,15104031.0
1927,15103067.0,Vlit403067,saures Ganggestein,4.0,15103026.0
208,15104095.0,Vlit404095,Metamorphit (magmatischer Protolith erkennbar),3.0,15104092.0
69,15102057.0,Vlit402057,Lignit (organisches Sedimentgestein),4.0,15102056.0
259,15104011.0,Vlit404011,Rauwacke (Kataklasit),4.0,15104010.0
83,15102077.0,Vlit402077,"Quelltuff (Kalksinter, Sedimentgestein)",4.0,15102075.0
1929,15102109.0,Vlit402109,Dolomitbrekzie,4.0,15102049.0
163,15103060.0,Vlit403060,"Tuffit, undifferenziert (pyroklast. und nicht vulk. Sedimente, 75-25 % pyroklast. Komp.)",3.0,15103036.0
2247,15103069.0,Vlit403069,Basisches Gestein,1.0,0.0
129,15103020.0,Vlit403020,Pyroxenit (Intrusivgestein),4.0,15103005.0
189,15104093.0,Vlit404093,Metamorphit (sedimentärer Protolith erkennbar),3.0,15104092.0
82,15102076.0,Vlit402076,Rauwacke (Sedimentgestein),4.0,15102075.0
84,15102078.0,Vlit402078,"Travertin (Kalksinter, Sedimentgestein)",4.0,15102075.0
318,15104084.0,Vlit404084,"monomineralischer Metamorphit, undifferenziert",2.0,15104001.0
