OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN,TREE_LEVEL,PARENT_REF
104,15201174,Vlit501174,Fislisbach-Schotter,3.0,15201053.0
220,15201222,Vlit501222,Küsnacht-Schotter,2.0,15201003.0
127,15201072,Vlit501072,Hagenholz-Eiszeit,2.0,15201003.0
88,15201159,Vlit501159,Enge-Schotter,2.0,15201003.0
150,15201093,Vlit501093,Möhlin-Vorstoss,4.0,15201092.0
237,15201239,Vlit501239,Vorholz-Schotter,3.0,15201053.0
249,15201251,Vlit501251,Girenbad-Schotter,2.0,15201250.0
832,15201265,Vlit501265,Fankhusgrabe-Schotter,4.0,15201008.0
155,15201097,Vlit501097,Bärengraben-Schotter und -Till,2.0,15201004.0
833,15201266,Vlit501266,Rossgaden-Schotter,2.0,15201001.0
218,15201220,Vlit501220,Krauchthal-Schotter,2.0,15201003.0
216,15201218,Vlit501218,Raintal-Deltaschotter,2.0,15201003.0
151,15201094,Vlit501094,Bünten-Till,5.0,15201093.0
91,15201162,Vlit501162,Oensingen-Moos-Lehm,2.0,15201003.0
21,15201139,Vlit501139,Seeablagerungen von Frinvillier und Rondchâtel,4.0,15201008.0
182,15201123,Vlit501123,Egg-Schotter,2.0,15201005.0
829,15201262,Vlit501262,Fisistock-Bergsturzablagerungen,4.0,15201008.0
34,15201151,Vlit501151,Maximalstand (Kilwangen-Schaffhausen-Stadium),5.0,15201147.0
13,15201131,Vlit501131,Schlieren-Diessenhofen-Stetten-Stadien,4.0,15201008.0
256,15201258,Vlit501258,Chilchstapfen-Schotter,2.0,15201005.0
141,15201085,Vlit501085,Buerfeld-Schotter,3.0,15201082.0
231,15201233,Vlit501233,Chälen-Schotter,2.0,15201003.0
51,15201021,Vlit501021,Staffelbach-Vorstoss,4.0,15201009.0
32,15201149,Vlit501149,Stokar-Terrasse,5.0,15201147.0
228,15201230,Vlit501230,Reidbach-Schotter,2.0,15201003.0
149,15201092,Vlit501092,Möhlin-Vergletscherung,3.0,15201091.0
238,15201240,Vlit501240,Gutsch-Schotter,3.0,15201053.0
113,15201062,Vlit501062,Reuenthal-Vorstoss,4.0,15201059.0
41,15201015,Vlit501015,Oberhard-Till,5.0,15201013.0
239,15201241,Vlit501241,Junkerenwald-Schotter,3.0,15201053.0
56,15201026,Vlit501026,Tägerhard-Schotter,5.0,15201025.0
200,15201202,Vlit501202,La-Tuffière-Schotter,3.0,15201006.0
53,15201023,Vlit501023,Staffelbach-Till,5.0,15201021.0
253,15201255,Vlit501255,Bohlingen-Schotter,2.0,15201004.0
252,15201254,Vlit501254,Schrotzburg-Till,2.0,15201004.0
206,15201208,Vlit501208,Haselbach-Schotter,4.0,15201008.0
64,15201034,Vlit501034,Zetzwil-Vorstoss,4.0,15201024.0
33,15201150,Vlit501150,Breite-Terrasse,5.0,15201147.0
107,15201056,Vlit501056,Suhr-Schotter,3.0,15201053.0
10,15201187,Vlit501187,Solothurn-Stadium,4.0,15201008.0
209,15201211,Vlit501211,Starrberg-Schotter,4.0,15201008.0
19,15201137,Vlit501137,Schüss-Schotter,4.0,15201008.0
116,15201065,Vlit501065,Engiwald-Vorstoss,4.0,15201064.0
9,15201008,Vlit501008,LGM-Rückzug,3.0,15201006.0
161,15201103,Vlit501103,Unterer Till,3.0,15201098.0
145,15201180,Vlit501180,Endingen-Schotter,5.0,15201087.0
30,15201147,Vlit501147,Killwangen-Schaffhausen-Mellingen-Stadium,4.0,15201007.0
58,15201028,Vlit501028,Ämmert-Schotter,5.0,15201027.0
143,15201087,Vlit501087,Habsburg-Vorstoss,4.0,15201086.0
1150,15201290,Vlit501290,Bergsturzablagerungen von Gwelber-Laui-Weid,2.0,15201311.0
1151,15201291,Vlit501291,Bergsturzablagerungen von Castasegna,2.0,15201311.0
1152,15201292,Vlit501292,Bergsturzablagerungen von Sogno,2.0,15201311.0
1153,15201293,Vlit501293,Bergsturzablagerungen von Prapan,2.0,15201311.0
1154,15201294,Vlit501294,Bergsturzablagerungen von Schaingels,2.0,15201311.0
1155,15201295,Vlit501295,Bergsturzablagerungen von Mutta,2.0,15201311.0
1156,15201296,Vlit501296,Bergsturzablagerungen von Brienz,2.0,15201311.0
1157,15201297,Vlit501297,Bergsturzablagerungen von Flims,2.0,15201311.0
1158,15201298,Vlit501298,Bergsturzablagerungen von Brüsis,2.0,15201311.0
1159,15201299,Vlit501299,Bergsturzablagerungen vom Chapf,2.0,15201311.0
1160,15201300,Vlit501300,Bergsturzablagerungen von Derborence,2.0,15201311.0
1163,15201303,Vlit501303,Bergsturzablagerungen von Elm,2.0,15201311.0
1164,15201304,Vlit501304,Bergsturzablagerungen von Goldau,2.0,15201311.0
1165,15201305,Vlit501305,Bergsturzablagerungen von Iragell,2.0,15201311.0
1166,15201306,Vlit501306,Bergsturzablagerungen vom Kernwald,2.0,15201311.0
1167,15201307,Vlit501307,Bergsturzablagerungen von Triesenberg,2.0,15201311.0
1168,15201308,Vlit501308,Bonaduz-Formation,2.0,15201311.0
1169,15201309,Vlit501309,Bonfol-Ton,3.0,15201124.0
1170,15201310,Vlit501310,Bergsturzablagerungen von Tamins,2.0,15201311.0
1171,15201311,Vlit501311,Informell benannte Bergsturzablagerungen,1.0,0.0
1172,15201312,Vlit501312,Informell benannte künstliche Ablagerungen,1.0,0.0
1173,15201313,Vlit501313,Künstliche Ablagerungen des Bahnhofs Brig,2.0,15201312.0
1174,15201314,Vlit501314,Künstliche Ablagerungen Golar,2.0,15201312.0
1176,15201316,Vlit501316,Künstliche Ablagerungen des Riedertals,2.0,15201312.0
1177,15201317,Vlit501317,Informell benannte Sackungsmassen,1.0,0.0
1178,15201318,Vlit501318,Sackungsmasse des Heinzenbergs,2.0,15201317.0
1179,15201319,Vlit501319,Informell benannte fluviatile Schotter,1.0,0.0
1180,15201320,Vlit501320,Schotter und Sand der Rhône,2.0,15201319.0
1181,15201321,Vlit501321,Schotter und Sand der Vispa,2.0,15201319.0
1182,15201322,Vlit501322,Informell benannter Bachschutt,1.0,0.0
1183,15201323,Vlit501323,Bachschutt des Baltschiederbachs,2.0,15201322.0
1184,15201324,Vlit501324,Bachschutt des Bietschbachs,2.0,15201322.0
1185,15201325,Vlit501325,Bachschutt des Chelchbachs,2.0,15201322.0
1186,15201326,Vlit501326,Bachschutt der Gamsa,2.0,15201322.0
1187,15201327,Vlit501327,Bachschutt des Jolibachs,2.0,15201322.0
1188,15201328,Vlit501328,Bachschutt der Lonza,2.0,15201322.0
1189,15201329,Vlit501329,Bachschutt der Saltina,2.0,15201322.0
1190,15201330,Vlit501330,Bachschutt der Vispa,2.0,15201322.0
1191,15201331,Vlit501331,Bachschutt der Gürbe,2.0,15201322.0
1192,15201332,Vlit501332,Bachschutt des Lombachs,2.0,15201322.0
1193,15201333,Vlit501333,Pliozäne Ablagerungen,1.0,0.0
1195,15201335,Vlit501335,Strätligen-Till,4.0,15201008.0
1196,15201336,Vlit501336,Bärenholz-Till,4.0,15201008.0
1198,15201338,Vlit501338,Schlyffi-Till,3.0,15201006.0
1199,15201339,Vlit501339,Brüggstutz-Schotter,3.0,15201006.0
1200,15201340,Vlit501340,Guntelsei-Till,4.0,15201007.0
1201,15201341,Vlit501341,Guntelsei-Schotter,3.0,15201006.0
1202,15201342,Vlit501342,Steghalden-Schotter,2.0,15201003.0
1203,15201343,Vlit501343,Glütschtal-Formation,2.0,15201003.0
1204,15201344,Vlit501344,Hahni-Schotter,2.0,15201003.0
183,15201124,Vlit501124,Sundgau-Schotter,2.0,15201333.0
184,15201125,Vlit501125,Mischschotter,3.0,15201124.0
185,15201126,Vlit501126,Weisse Serie,2.0,15201333.0
1,15201181,Vlit501181,Rhein- und Aareschotter,2.0,15201319.0
4,15201184,Vlit501184,Wutach-Schotter,2.0,15201319.0
826,15201259,Vlit501259,Ofenloch-Karstfüllung,2.0,15201333.0
1468,15201444,Vlit501444,"Löss, undifferenziert",1.0,0.0
1469,15201460,Vlit501460,Bergsturzablagerungen vom Stützwald,6.0,15201311.0
1466,15201458,Vlit501458,Ceppo,1.0,0.0
1162,15201302,Vlit501302,Bergsturzablagerungen vom Delenwald,2.0,15201311.0
1161,15201301,Vlit501301,Bergsturzablagerungen vom Drussetschawald,2.0,15201311.0
1467,15201459,Vlit501459,Novazzano-Sand,2.0,15201458.0
1826,15201502,Vlit501502,Werthenstein-Schotter,3.0,15201006.0
46,15201153,Vlit501153,Bick-Till,4.0,15201009.0
47,15201154,Vlit501154,Flüe-Till,4.0,15201009.0
78,15201158,Vlit501158,La-Côte-Schotter,2.0,15201001.0
102,15201172,Vlit501172,Surbtal-Till,3.0,15201053.0
1175,15201315,Vlit501315,Künstliche Ablagerungen der Gamsenried-Deponie,2.0,15201312.0
1197,15201337,Vlit501337,Wässerifluh-Formation,4.0,15201008.0
1786,15201499,Vlit501499,Untergrabehüsli-Schotter,5.0,15201249.0
1787,15201505,Vlit501505,Reuss-Schotterkomplex,2.0,15201002.0
1788,15201490,Vlit501490,Rufswil-Schotter,6.0,15201231.0
1789,15201491,Vlit501491,Rütimatt-Schotter,3.0,15201006.0
1790,15201511,Vlit501511,Mooretal-Schotter,2.0,15201002.0
1792,15201463,Vlit501463,Zeiningen-Till,4.0,15201462.0
1793,15201464,Vlit501464,Höhenschotter,2.0,15201001.0
1794,15201465,Vlit501465,Böschmatt-Schotter,3.0,15201464.0
1795,15201466,Vlit501466,Bramegg-Schotter,3.0,15201464.0
1796,15201467,Vlit501467,Kaltenegg-Schotter,3.0,15201464.0
1797,15201468,Vlit501468,Steinhuserberg-Schotter,3.0,15201464.0
1798,15201469,Vlit501469,Büelm-Schotter,4.0,15201008.0
1799,15201470,Vlit501470,Büel-Schotter,5.0,15201322.0
1801,15201472,Vlit501472,Durnagel-Schotter,5.0,15201322.0
1802,15201473,Vlit501473,Dürrenroth-Schotter,5.0,15201249.0
1803,15201474,Vlit501474,Egghüsli-Schotter,3.0,15201006.0
1804,15201475,Vlit501475,Emmental-Schotter,3.0,15201006.0
1806,15201477,Vlit501477,Gammenthal-Schotter,2.0,15201001.0
1807,15201478,Vlit501478,Gondiswil-Formation,6.0,15201231.0
1808,15201479,Vlit501479,Hasewald-Schotter,3.0,15201006.0
1809,15201480,Vlit501480,Hirzmatt-Schotter,3.0,15201006.0
1810,15201481,Vlit501481,Mettlen-Schotter,3.0,15201006.0
1812,15201483,Vlit501483,Muttenfeld-Schotter,5.0,15201249.0
1814,15201485,Vlit501485,Oberhöhe-Grundmoräne,2.0,15201001.0
1815,15201486,Vlit501486,Obermoos-Schotter,3.0,15201006.0
1816,15201492,Vlit501492,Schwanderholzwald-Schotter,2.0,15201001.0
1817,15201493,Vlit501493,Schwande-Seebodensedimente,3.0,15201006.0
1818,15201494,Vlit501494,Soppensee-Seebodensedimente,5.0,15201249.0
1819,15201495,Vlit501495,Speicherboden-Lokalmoräne,3.0,15201006.0
1822,15201498,Vlit501498,Untere Zeller Schotter,6.0,15201231.0
1824,15201500,Vlit501500,Untertreie-Schotter,4.0,15201008.0
1828,15201504,Vlit501504,Wilzigen-Seebodensedimente,2.0,15201001.0
1829,15201488,Vlit501488,Rottal-Schotter,4.0,15201008.0
1830,15201506,Vlit501506,Hagnau-Niveau,2.0,15201002.0
1831,15201507,Vlit501507,Reusstal-Seebodensediment,2.0,15201002.0
1832,15201508,Vlit501508,Wyna-Schotter,2.0,15201002.0
1833,15201509,Vlit501509,Rickenbach-Schotter,2.0,15201002.0
1834,15201510,Vlit501510,Ermensee-Schotter,2.0,15201002.0
1835,15201489,Vlit501489,Rüdelwald-Schotter,5.0,15201249.0
1836,15201512,Vlit501512,Ämmet-Schotter,2.0,15201003.0
1837,15201513,Vlit501513,Homberg-Till,2.0,15201003.0
1838,15201514,Vlit501514,Lindenberg-Till,2.0,15201003.0
1839,15201515,Vlit501515,Heubeerihübel-Schotter,5.0,15201005.0
1840,15201516,Vlit501516,Ritzhans-Schotter,3.0,15201053.0
1841,15201517,Vlit501517,Unterdorf-Schotter,3.0,15201053.0
