OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN,TREE_LEVEL,PARENT_REF
636,15202187,Vlit502187,Baltschieder-Granodiorit,2.0,15202183.0
1299,15200505,Vlit500505,Ramschwag-Nagelfluh,5.0,15200503.0
1347,15200553,Vlit500553,Oltingue-Kalkarenit,5.0,15200394.0
415,15200242,Vlit500242,Böttstein-Granit,2.0,15200230.0
3377,15202446,Vlit502446,Arveyes-Flysch,4.0,15202279.0
3378,15202447,Vlit502447,Sex-Mort-Flysch,4.0,15202279.0
207,15200100,Vlit500100,Vions-Formation,3.0,15200097.0
541,15202298,Vlit502298,Jura des Helvetikums,1.0,0.0
145,15200354,Vlit500354,Cucloz-Subformation,4.0,15200353.0
233,15200160,Vlit500160,"Günsberg-, Vellerat-, Villigen-, Balsthal- und Courgenay-Formation, undifferenziert",3.0,15200012.0
869,15203137,Vlit503137,Radiolarit,3.0,15203131.0
1060,15204080,Vlit504080,Sandhubel-Member,3.0,15204079.0
1117,15205056,Vlit505056,Cava Superiore,2.0,15205053.0
798,15203071,Vlit503071,Gibel-Member,3.0,15203069.0
110,15200325,Vlit500325,Radiolaritreiche Nagelfluh,5.0,15200322.0
433,15202281,Vlit502281,Martinsmad-Formation,3.0,15202279.0
714,15202263,Vlit502263,Engi-Granit,2.0,15202245.0
908,15203174,Vlit503174,Carnusa-Formation,2.0,15203246.0
543,15202097,Vlit502097,Quinten-Formation,3.0,15202096.0
3139,15202422,Vlit502422,Leiboden-Mergel,3.0,15202049.0
3116,15202399,Vlit502399,«Unterer Betliskalk»,3.0,15202084.0
768,15203042,Vlit503042,Col-de-Lys-Member,3.0,15203041.0
1025,15204045,Vlit504045,Mingèr-Formation,2.0,15204038.0
222,15200426,Vlit500426,Solothurner Schildkrötenkalk,4.0,15200002.0
3263,15206009,Vlit506009,Sorico-Tonalit,3.0,15206007.0
3132,15202415,Vlit502415,«Obere Tonschiefer» (Bommerstein-Fm.),5.0,15202416.0
1296,15200502,Vlit500502,Eichbol-Tuffit,5.0,15200274.0
1035,15204055,Vlit504055,Tiaun-Brekzie,2.0,15204054.0
249,15200111,Vlit500111,Hornbuck-Member,5.0,15200105.0
3115,15202398,Vlit502398,«Oberer Betliskalk»,3.0,15202084.0
1313,15200519,Vlit500519,Eggen-Member,5.0,15200515.0
455,15202295,Vlit502295,Südelbach-Member,3.0,15202290.0
142,15200351,Vlit500351,UMM-II,3.0,15200348.0
1362,15200569,Vlit500569,Turritellen-Kalk,4.0,15200567.0
3266,15206012,Vlit506012,Alpe-Cameraccio-Granodiorit,2.0,15206003.0
535,15202090,Vlit502090,Vitznau-Mergel,2.0,15202047.0
3267,15206013,Vlit506013,Monte-Rosso-Mikrogranit,2.0,15206003.0
408,15200235,Vlit500235,Randgranit,2.0,15200230.0
185,15200441,Vlit500441,Scie-Besse-Sandstein,4.0,15200181.0
36,15200289,Vlit500289,Urdorf-Bentonit,5.0,15200507.0
1218,15202339,Vlit502339,Giubine-Gneiskomplex,2.0,15202231.0
3258,15205098,Vlit505098,Grand-Dolin-Brekzie,2.0,15205001.0
1259,15200465,Vlit500465,Schlächtenhaus-Granit,2.0,15200230.0
3075,15200593,Vlit500593,«Formation de la Chambotte Supérieure»,4.0,15200098.0
802,15203075,Vlit503075,Zoophycos-Schichten,3.0,15203074.0
544,15202098,Vlit502098,Tros-Kalk,4.0,15202097.0
1202,15202323,Vlit502323,Foostock-Member,4.0,15202151.0
148,15200357,Vlit500357,Schistes marno-micacés,5.0,15200358.0
478,15202033,Vlit502033,Foribach-Member,3.0,15202032.0
17,15200270,Vlit500270,Tösswald-Schichten,5.0,15200297.0
3060,15200578,Vlit500578,Numismalismergel-Formation,3.0,15200056.0
479,15202034,Vlit502034,Mattgrat-Member,3.0,15202032.0
651,15202202,Vlit502202,Fully-Granodiorit,2.0,15202332.0
3249,15205089,Vlit505089,Tête-de-Valpelline-Phyllit,2.0,15205007.0
502,15202057,Vlit502057,Sellamatt-Schichten,4.0,15202053.0
557,15202111,Vlit502111,Guppen-Fossilhorizont,4.0,15202108.0
582,15202134,Vlit502134,Trias des Helvetikums,1.0,0.0
591,15202142,Vlit502142,Permo-Karbon des Helvetikums,1.0,0.0
592,15202143,Vlit502143,Verrucano-Gruppe,1.0,0.0
203,15200155,Vlit500155,Arzier-Mergel,3.0,15200153.0
