OBJECTID,UUID,FMAT_LITSTRAT
200,{6E1487B2-6921-49A1-819F-F42C8121CE6D},15200005
201,{263C1D8A-5CF4-4347-8AC9-4CAEAC7D0C9D},15200310
202,{6D221A31-24C4-4F6B-992C-912F2A871514},15200011
1014,{47BFC768-0D7E-47A4-97F4-D9A207533403},15200442
205,{893A1C9D-86C7-4C27-B37D-C9B37104E9E8},15200305
206,{E380ABAD-9951-400C-809E-A6F8984F34CB},15200033
207,{5B522398-DAE7-439D-9CC9-F877B01FD5E6},15200080
952,{0FDDA220-83D8-4AEB-9A3A-B1418EA0D169},15200339
953,{7BF488FF-F66D-467E-A106-9B0A18DA2F71},15200340
954,{591341E0-CC13-4747-B6FA-02AC723A95AC},15200342
955,{5895BA16-51CD-4C61-8947-2DB6C9867A70},15200346
213,{5BAEF7C9-DAB0-4558-AF64-E437A3379F06},15200138
214,{4EED0C67-7D85-451B-899C-87ACAF76D52A},15200219
215,{C2D0654B-0279-4BD4-B4E6-197C9AD2B6FA},15200076
956,{338F5ACD-7D3B-4FD4-BD0C-B2E296F7CB66},15200347
217,{8229512D-BCEB-411A-881D-74E87492127B},15200335
218,{2D0167F1-87EE-47EA-895E-A480395844F2},15200329
219,{C2748784-22E5-49CA-A521-778030B77089},15200341
1015,{C4C0FEAC-BF13-4949-B37C-9E38C87FFFEF},15200443
1016,{CA65C74F-29E7-434F-A32B-633E760875F2},15200444
222,{D3EDF621-2AF8-4DEE-BDC6-109FB3842C2F},15200093
223,{20013071-408A-4ED4-8D6C-93F44F5AE83A},15200004
224,{0F9E6440-9F15-4E18-A08D-799B21EDFB94},15200189
1150,{96CE4B4F-4D6F-4F16-9F4A-21217C7827BE},15202007
226,{541A5E9C-88BE-44D5-9B07-681F282351D1},15200100
1021,{23A005CC-0CE5-4293-9C5D-E6E4D7080B2F},15200449
1022,{773965DC-27E9-4155-9274-254847741DB6},15200450
1023,{DEEEF9B1-9B2F-433F-B281-5E6EBE059724},15200451
1024,{BBF5F8DB-6FBE-4ACA-AA4B-20C13C390A49},15200452
1025,{D9ABB32B-5A78-4FA6-A35D-F061BA373E2B},15200453
1027,{D4A1F5BE-FD80-4CA0-91AF-18F9D64ADBF7},15200455
1028,{278EDC7B-878C-4370-AC41-7F2CD9670308},15200456
1029,{FDFE0C74-AFBC-4D1A-A1C2-A635B9492B17},15200457
1030,{B34D782C-A62E-4AFE-94F2-B803CA0D59D0},15200458
1031,{AAEEA971-F2E3-41DA-988E-45D7A4D1B124},15200459
1032,{5020DA39-A296-4C70-BBA3-AE8AD7DC3C8E},15200460
1033,{5A0E40DC-552C-4988-BFC2-294C517EBC29},15200461
1034,{8F2DE8EF-576E-477D-82CC-67A86A396627},15200462
1035,{1DB6197C-B614-4BA5-AE85-ED54D27CA203},15200463
1036,{3651A1E5-DF29-4FCA-AB4B-59726F856D41},15200464
1037,{D66FB1CF-0054-4141-8F81-80F2B119ABBD},15200465
1039,{88EB6273-96B1-4FAD-B9F0-69B4E0B13289},15200467
1040,{C6801985-37AC-4303-98F1-529214BAE883},15200468
1041,{279651D3-26BA-4F7F-A15B-421EDFB327F7},15200469
1042,{FDFF3704-4658-4932-AE58-038C1A2F9B40},15200470
1043,{3797661C-6AC2-4D0B-8F46-404679D81193},15200471
1044,{450A83A8-8BE3-4236-A12F-F82E0124350F},15200472
1045,{1E975656-E572-4562-BDB1-C0D73FA37746},15200473
1046,{7A91100D-9F84-4601-A7A8-A27B79A9917F},15200474
1047,{51239A60-2B14-48EC-8B7E-D46C3F5DABD6},15200475
1048,{252FC7C1-AAB9-4DE7-8D71-49ED73F68950},15200476
1049,{67132D36-C216-4EA5-A154-0EB0A769334F},15200477
1050,{6BE20E5A-38FB-4975-AFEF-4B3F920B3D34},15200478
1051,{CFA84DC3-4075-4221-9B59-507ED04243E4},15200479
1052,{6C83C072-53E8-4B77-B4A8-B2C2C3CF566C},15200480
1053,{BBA62B6C-7401-4567-99C3-8A4AE0C31F17},15200481
1054,{D27AC18F-0963-462E-9DC6-9DA3933174E1},15200482
1055,{F13DA981-17F8-4916-96D9-37AA1AF84C70},15200483
1056,{1A7B59ED-48B7-4855-8540-A642EEC5337C},15200484
1057,{AE348D5F-4F43-4A0D-B00C-7634AE754291},15200485
1058,{61294A31-A783-496D-97D4-6573A61A4CBD},15200486
1059,{02098AE3-1D41-4B83-A337-BE6384BFA3A4},15200487
1060,{8D77863C-6176-4536-A106-E80FBCCA2292},15200488
1061,{3FD7BF7B-6E41-45A7-A153-D6FE305B9A38},15200489
1062,{6667D68B-3B08-4E32-A3EB-AABCB54950E4},15200490
1063,{2967ABED-0292-4EB2-B6FB-8ABDA6B13B8A},15200491
1064,{7A4A60D5-4F6E-4C13-B401-8E393529387C},15200492
1065,{E9DF3176-ADEE-45BE-888A-98AFDCC236DA},15200493
1066,{704F978A-FD65-4902-B1D4-935982C278B0},15200494
1067,{615EB9AC-F540-4321-BCB7-EB6F8B560895},15200495
1068,{229FD152-C1E6-4971-8E38-3BE02AD677DB},15200496
1069,{382BA0B4-4931-41AA-A847-F2FE8B1F0536},15200497
1070,{09D2AD13-D3CA-4D34-B3A4-A22A79FAB8D9},15200498
1071,{0AD02504-5E9C-4F03-983A-D91D30A9AD0E},15200499
1072,{1469555C-DC54-4FCE-95C8-D29733BB2778},15200500
1073,{25E462FB-2107-45C7-B1B6-A2B577D481EF},15200501
1074,{A478D6E9-23D6-42A5-A0A4-9B5BB975F48D},15200502
1075,{CAE18CE7-19EC-4E65-AC9B-12EF7FAD0965},15200503
1076,{F83E15C5-BABD-4D8C-AC3C-0719CCB8974E},15200504
1077,{C8733AFD-D775-4AD8-A9E3-014F29AF3B14},15200505
1078,{A51C8004-B42F-4AA8-A1A9-362707E77A61},15200506
1079,{EEB13E70-224A-49C9-99CB-4C1FB708E621},15200507
1080,{823D0C75-FE76-4FC2-B6DF-8E4B875CB0D0},15200508
1081,{1F1C7670-27B7-49DA-8CB7-60111BFDDA34},15200509
1082,{F0C6FC1F-40C7-40CF-9D84-35AA2A3995E4},15200510
1083,{8332CFAC-1759-4471-8895-A7E69A9FBFD8},15200511
1084,{C7776F0D-2F9B-4680-A88C-3515CA4695BE},15200512
1085,{7ACB003F-0145-473A-8EC7-B685AE28F7D4},15200513
1086,{ACF0F9A2-EBDE-45D1-971A-CF5381EB2145},15200514
1087,{D8024AFE-F0F7-46D7-8E91-DEB5C17116D4},15200515
1088,{B059088D-7E0F-44C1-9064-F35649D275F1},15200516
1089,{AB7F0222-B8F2-418B-8CD1-3B5C7AFE646D},15200517
1090,{336A8FA4-3A8F-4B01-806F-79CD44F858C1},15200518
1091,{8A11ADE4-AF12-4DA2-AA2F-5797B44D34DA},15200519
1092,{2AAA12AA-26EC-4E2F-B82F-413E9414E142},15200520
1093,{47F1574B-B333-4EB6-851C-2ADE9F913255},15200521
1094,{389DF2EE-9152-47AE-8794-3EE04263B147},15200522
1095,{5593541A-4303-412D-9E13-AC7A304196D9},15200523
1096,{27ED9B1B-A22E-4B8B-8DB1-8240FD11B33B},15200524
1097,{66052B2D-E5A0-4C7D-8B4E-84E6C7D60E3E},15200525
1098,{50863DEC-5D7B-44A7-A99D-49F0150C1BAD},15200526
1099,{0201DE54-6FCF-4F8A-BC28-AD6B78561F6B},15200527
1100,{50D3F0B4-3463-4FB7-B30F-E134C89CD58D},15200528
1101,{52B86B4B-2D46-4005-A782-6EC38E52394E},15200529
1102,{4113D41F-AD82-4A52-BE94-631BC5116A80},15200530
1103,{B9A18A43-84EC-4309-9C8D-213E8A76756A},15200531
1104,{25E38B68-6F30-4A98-900C-9E4D774FDC24},15200532
1105,{B1B9F017-F551-4469-9A31-46701ECAD115},15200533
1106,{AAA4B114-C260-41E2-B2F6-5C7B940A3284},15200534
1107,{413C23BD-8FF2-4D59-A84A-E11548F67AEF},15200535
1108,{F0B2BDF4-1058-40BA-B125-C54563176032},15200536
1109,{368C39BA-68C0-4D71-B274-3F1E2AC0337F},15200537
1110,{067BA1A6-1F76-4B94-9A2D-277515A987AF},15200538
1111,{CA6A59BA-AC33-4285-87D2-8025119181AE},15200539
1112,{F25F2398-8C17-4722-BE9A-CF45A6AABDC4},15200540
1113,{4CA6335F-F651-4B21-91E9-4231F54FCFC4},15200541
1114,{C4BD724B-F0D1-4BA6-8A5F-C660B001F909},15200542
1115,{A883A928-343A-4DD7-8E9F-9DA4B2F79F1C},15200543
1116,{52173576-F156-4768-9AF9-52F5A758A63A},15200544
1117,{E6A9673C-6F44-43F4-9165-6AF9BAD35889},15200545
1118,{531532E2-3ABF-4C65-8757-675049A79857},15200546
1119,{A0FEE678-3A05-465A-ABF2-3DFA2FECE842},15200547
1120,{67313415-E5DC-43F3-BB5B-5876E0C93182},15200548
1121,{AB901E07-669F-4B9C-8E3B-5A31B5E4133A},15200549
