OBJECTID,GEOL_CODE_INT,PARENT_REF,GEOL_CODE,GERMAN,TREE_LEVEL
306,15200199,15200382.0,Vlit500199,Maeandrina-Schichten,5.0
307,15200200,15200382.0,Vlit500200,Gisliflue-Korallenkalk,5.0
308,15200201,15200382.0,Vlit500201,Untere Acuminata-Schichten,5.0
313,15200202,15200120.0,Vlit500202,Parkinsoni-Schichten,4.0
317,15200203,15200009.0,Vlit500203,Dewalquei-Kalk,4.0
318,15200204,15200009.0,Vlit500204,Brot-Schichten,4.0
326,15200205,15200070.0,Vlit500205,Comptum-Bank,5.0
354,15200206,15200126.0,Vlit500206,Seebi-Member,4.0
355,15200207,15200126.0,Vlit500207,Gruhalde-Member,4.0
356,15200208,15200126.0,Vlit500208,Berlingen-Member,4.0
357,15200209,15200126.0,Vlit500209,Gansingen-Member,4.0
358,15200210,15200126.0,Vlit500210,Ergolz-Member,4.0
364,15200211,15200132.0,Vlit500211,Kaisten-Bank,5.0
366,15200212,15200130.0,Vlit500212,Eptingen-Member,4.0
367,15200213,15200130.0,Vlit500213,Dünnlenberg-Bank,4.0
369,15200214,15200134.0,Vlit500214,Saalhof-Bank,5.0
370,15200215,15200464.0,Vlit500215,Fützen-Bank,5.0
372,15200216,15200135.0,Vlit500216,Dolomitzone,4.0
389,15200217,15200158.0,Vlit500217,Oberer Schuttfächer,2.0
390,15200218,15200158.0,Vlit500218,Playa-Serie,2.0
391,15200219,15200158.0,Vlit500219,Unterer Schuttfächer,2.0
392,15200220,15200617.0,Vlit500220,Spät- bis postvariszische Intrusiva der Nordschweiz,3.0
386,15200221,0.0,Vlit500221,Permo-Karbon der Nordschweiz,1.0
393,15200222,15200220.0,Vlit500222,Stockberg-Quarzporphyr,2.0
394,15200223,15200220.0,Vlit500223,Bärhalde-Granit,2.0
395,15200224,15200220.0,Vlit500224,Schluchsee-Granit,2.0
396,15200225,15200220.0,Vlit500225,Säckingen-Granit,2.0
399,15200226,15200159.0,Vlit500226,Jüngere Flussablagerungen,3.0
400,15200227,15200159.0,Vlit500227,Seeablagerungen,3.0
401,15200228,15200159.0,Vlit500228,Ältere Flussablagerungen,3.0
402,15200229,15200228.0,Vlit500229,Kohle-Serie,4.0
403,15200230,15200617.0,Vlit500230,Frühvariszische Intrusiva der Nordschweiz,3.0
404,15200231,15200230.0,Vlit500231,Albtal-Granit,2.0
405,15200232,15200230.0,Vlit500232,Malsburg-Granit,2.0
406,15200233,15200230.0,Vlit500233,Blauen-Granit,2.0
407,15200234,15200230.0,Vlit500234,Klemmbach-Granit,2.0
408,15200235,15200230.0,Vlit500235,Randgranit,2.0
409,15200236,15200230.0,Vlit500236,Münsterhalden-Granit,2.0
410,15200237,15200230.0,Vlit500237,Schönau-Herrenschwand-Granit,2.0
411,15200238,15200230.0,Vlit500238,St.-Blasien-Granit,2.0
412,15200239,15200230.0,Vlit500239,Mambach-Granit,2.0
413,15200240,15200230.0,Vlit500240,Lenzkirch-Steina-Granit,2.0
414,15200241,15200230.0,Vlit500241,Hauenstein-Granit,2.0
415,15200242,15200230.0,Vlit500242,Böttstein-Granit,2.0
416,15200243,15200617.0,Vlit500243,Prä- und frühvariszische Sedimente und Vulkanite der Nordschweiz,3.0
417,15200244,15200243.0,Vlit500244,Schiefer und Grauwacken,2.0
418,15200245,15200617.0,Vlit500245,Prävariszisches polyzyklisches Grundgebirge der Nordschweiz,3.0
419,15200246,15200245.0,Vlit500246,Prävariszische Orthogneise der Nordschweiz,2.0
420,15200247,15200246.0,Vlit500247,Todtmoos-Horbach-Gneiskomplex,3.0
421,15200248,15200246.0,Vlit500248,Murgtal-Gneiskomplex,3.0
422,15200249,15200246.0,Vlit500249,Laufenburg-Gneiskomplex,3.0
423,15200250,15200245.0,Vlit500250,Prävariszische Migmatite der Nordschweiz,2.0
424,15200251,15200250.0,Vlit500251,Wiesen-Wehratal-Komplex,3.0
425,15200252,15200250.0,Vlit500252,Wehratal-Syenit,3.0
426,15200253,15200245.0,Vlit500253,Prävariszische Grüngesteine der Nordschweiz,2.0
1,15200254,0.0,Vlit500254,Molasse,1.0
2,15200255,15200254.0,Vlit500255,Obere Süsswassermolasse (OSM),2.0
3,15200256,15200255.0,Vlit500256,Tannenberg-Schichten,3.0
4,15200257,15200255.0,Vlit500257,Pfänder-Schichten,3.0
5,15200258,15200255.0,Vlit500258,Napf-Formation,3.0
6,15200259,15200258.0,Vlit500259,Blapbach-Kohleflöz,4.0
7,15200260,15200258.0,Vlit500260,Eimätteli-Member,4.0
8,15200261,15200255.0,Vlit500261,Schüpferegg-Nagelfluh,3.0
9,15200262,15200255.0,Vlit500262,OSM-II,3.0
10,15200263,15200254.0,Vlit500263,Hegau-Vulkanite,2.0
11,15200264,15200263.0,Vlit500264,Hegau-Basalt,3.0
12,15200265,15200263.0,Vlit500265,Hegau-Phonolith,3.0
13,15200266,15200263.0,Vlit500266,Hegau-Deckentuffe,3.0
14,15200267,15200297.0,Vlit500267,Hörnligipfel-Nagelfluh,5.0
15,15200268,15200267.0,Vlit500268,Höchegg-Brekzie,6.0
16,15200269,15200297.0,Vlit500269,Hörnligubel-Mergel,5.0
17,15200270,15200297.0,Vlit500270,Tösswald-Schichten,5.0
18,15200271,15200262.0,Vlit500271,Bischofzell-Bentonit,4.0
19,15200272,15200297.0,Vlit500272,Öhningen-Zone im Hörnligebiet,5.0
20,15200273,15200297.0,Vlit500273,Krinau-Schichten,5.0
21,15200274,15200262.0,Vlit500274,Glimmersandstein-Formation,4.0
22,15200275,15200262.0,Vlit500275,Fellitobel-Süsswasserkalk,4.0
23,15200276,15200262.0,Vlit500276,Uetliberg-Schichten,4.0
24,15200277,15200276.0,Vlit500277,Uetliberggipfel-Nagelfluh,5.0
25,15200278,15200276.0,Vlit500278,Uetliberg-Mergel,5.0
26,15200279,15200280.0,Vlit500279,Falätschen-Mergel,5.0
27,15200280,15200262.0,Vlit500280,Pfannenstiel-Schichten,4.0
28,15200281,15200262.0,Vlit500281,Zürich-Schichten,4.0
29,15200282,15200281.0,Vlit500282,Leimbach-Bentonit,5.0
30,15200283,15200281.0,Vlit500283,Rütschlibach-Riedhof-Süsswasserkalk,5.0
31,15200284,15200281.0,Vlit500284,Winterthur-Bentonit,5.0
32,15200285,15200281.0,Vlit500285,Aeugstertal-Bentonit,5.0
33,15200286,15200281.0,Vlit500286,Äntlisberg-Doldertobel-Süsswasserkalk,5.0
34,15200287,15200281.0,Vlit500287,Wehrenbach-Höckler-Süsswasserkalk,5.0
35,15200288,15200507.0,Vlit500288,Küsnacht-Bentonit,5.0
36,15200289,15200507.0,Vlit500289,Urdorf-Bentonit,5.0
37,15200290,15200255.0,Vlit500290,Appenzellergranit-Leitniveau,3.0
38,15200291,15200290.0,Vlit500291,Abtwil-Konglomerat,4.0
39,15200292,15200290.0,Vlit500292,Hüllistein-Konglomerat,4.0
40,15200293,15200290.0,Vlit500293,Degersheim-Kalknagelfluh,4.0
41,15200294,15200290.0,Vlit500294,Meilen-Kalk,4.0
42,15200295,15200255.0,Vlit500295,OSM-I,3.0
43,15200296,15200295.0,Vlit500296,Lichtensteig-Schichten,4.0
44,15200297,15200262.0,Vlit500297,Hörnli-Formation,4.0
45,15200298,15200295.0,Vlit500298,Guggershorn-Formation,4.0
46,15200299,15200509.0,Vlit500299,Horgen-Käpfnach-Süsswasserkalk,5.0
47,15200300,15200255.0,Vlit500300,OSM-J,3.0
49,15200301,15200300.0,Vlit500301,Bois-de-Raube-Formation,4.0
55,15200302,15200300.0,Vlit500302,Jura-Nagelfluh,4.0
60,15200303,15200300.0,Vlit500303,Oehningien des Juragebirges,4.0
61,15200304,15200625.0,Vlit500304,Combe-Girard-Bentonit,6.0
62,15200305,15200300.0,Vlit500305,Vermes-Süsswasserkalk,4.0
63,15200306,15200626.0,Vlit500306,"Crêt-du-Locle-Formation, Gompholitfazies",5.0
64,15200307,15200254.0,Vlit500307,Obere Meeresmolasse (OMM),2.0
65,15200308,15200307.0,Vlit500308,OMM-II,3.0
78,15200309,15200308.0,Vlit500309,St-Gallen-Formation,4.0
85,15200310,15200309.0,Vlit500310,Staffelbach-Grobsandstein,5.0
88,15200311,15200307.0,Vlit500311,OMM-I,3.0
98,15200312,15200311.0,Vlit500312,Luzern-Formation,4.0
99,15200313,15200312.0,Vlit500313,Safenwil-Muschelsandstein,5.0
101,15200314,15200254.0,Vlit500314,Untere Süsswassermolasse (USM),2.0
102,15200315,15200329.0,Vlit500315,Höhronen-Nagelfluh,4.0
103,15200316,15200329.0,Vlit500316,Kronberg-Nagelfluh,4.0
124,15200317,15200335.0,Vlit500317,Cornalle-Sandstein,4.0
125,15200318,15200335.0,Vlit500318,Mont-Pèlerin-Nagelfluh,4.0
104,15200319,15200335.0,Vlit500319,Speer-Formation,4.0
105,15200320,15200335.0,Vlit500320,Thun-Formation,4.0
106,15200321,15200320.0,Vlit500321,Gunten-Quarzitnagelfluh,5.0
107,15200322,15200335.0,Vlit500322,Rigi-Formation,4.0
108,15200323,15200335.0,Vlit500323,Scheidegg-Nagelfluh,4.0
109,15200324,15200322.0,Vlit500324,Bunte Rigi-Nagelfluh,5.0
110,15200325,15200322.0,Vlit500325,Radiolaritreiche Nagelfluh,5.0
111,15200326,15200314.0,Vlit500326,USM-III,3.0
112,15200327,15200326.0,Vlit500327,Sommersberg-Nagelfluh,4.0
113,15200328,15200326.0,Vlit500328,Brendenbach-Mergel,4.0
114,15200329,15200314.0,Vlit500329,USM-II,3.0
115,15200330,15200329.0,Vlit500330,Formation der Granitischen Molasse,4.0
116,15200331,15200330.0,Vlit500331,Oberaquitane Mergelzone,5.0
118,15200332,15200329.0,Vlit500332,Molasse Grise de Lausanne,4.0
119,15200333,15200332.0,Vlit500333,Bois-Genoud-Bentonit,5.0
120,15200334,15200332.0,Vlit500334,Cuarny-Sandstein,5.0
121,15200335,15200314.0,Vlit500335,USM-I,3.0
122,15200336,15200335.0,Vlit500336,Grès et Marnes Gris à Gypse,4.0
123,15200337,15200335.0,Vlit500337,Molasse à Charbon,4.0
126,15200338,15200335.0,Vlit500338,Molasse Rouge,4.0
127,15200339,15200314.0,Vlit500339,Heuboden-Äschitannen-Nagelfluh,3.0
128,15200340,15200335.0,Vlit500340,Beichlen-Formation,4.0
129,15200341,15200314.0,Vlit500341,USM-J,3.0
130,15200342,15200341.0,Vlit500342,La-Chaux-Süsswasserkalk,4.0
133,15200343,15200341.0,Vlit500343,Elsässer Molasse s.s.,4.0
134,15200344,15200343.0,Vlit500344,Delémont-Süsswasserkalk,5.0
137,15200345,15200343.0,Vlit500345,Matzendorf-Süsswasserkalk,5.0
138,15200346,15200343.0,Vlit500346,Oensingen-Süsswasserkalk,5.0
136,15200347,15200559.0,Vlit500347,Wynau-Süsswasserkalk,5.0
139,15200348,15200254.0,Vlit500348,Untere Meeresmolasse (UMM),2.0
140,15200349,15200348.0,Vlit500349,UMM-III,3.0
141,15200350,15200349.0,Vlit500350,Horw-Sandstein,4.0
142,15200351,15200348.0,Vlit500351,UMM-II,3.0
143,15200352,15200351.0,Vlit500352,Grisigen-Mergel,4.0
144,15200353,15200348.0,Vlit500353,UMM-I,3.0
145,15200354,15200353.0,Vlit500354,Cucloz-Subformation,4.0
146,15200355,15200358.0,Vlit500355,Cucloz-Sandstein,5.0
147,15200356,15200358.0,Vlit500356,Marnes gris-souris,5.0
148,15200357,15200358.0,Vlit500357,Schistes marno-micacés,5.0
149,15200358,15200353.0,Vlit500358,Hilfern-Formation,4.0
150,15200359,15200353.0,Vlit500359,Rietbad-Subformation,4.0
151,15200360,15200358.0,Vlit500360,Jordisboden-Mergel,5.0
152,15200361,15200358.0,Vlit500361,Goldegg-Sandstein,5.0
153,15200362,15200348.0,Vlit500362,UMM-J,3.0
156,15200363,15200362.0,Vlit500363,Septarienton,4.0
157,15200364,15200362.0,Vlit500364,Fischschiefer,4.0
158,15200365,15200362.0,Vlit500365,Foraminiferenmergel,4.0
159,15200366,15200362.0,Vlit500366,Meeressand,4.0
155,15200368,15200369.0,Vlit500368,Cyathulabank (Laufen-Becken),5.0
154,15200369,15200362.0,Vlit500369,Cyrenenmergel,4.0
167,15200370,15200394.0,Vlit500370,Porrentruy-Konglomerat,5.0
163,15200371,15200640.0,Vlit500371,Raitsche,3.0
160,15200373,15200366.0,Vlit500373,Ajoie-Gompholit,5.0
135,15200378,15200343.0,Vlit500378,Tüllingen-Süsswasserkalk,5.0
132,15200379,15200314.0,Vlit500379,Elsässer-Molasse s.l.,3.0
292,15200380,15200008.0,Vlit500380,Oberer Teil des Hauptrogensteins,4.0
304,15200382,15200008.0,Vlit500382,Unterer Teil des Hauptrogensteins,4.0
301,15200383,15200380.0,Vlit500383,Calcaire roux marneux,5.0
50,15200384,15200301.0,Vlit500384,Ajoie-Member,5.0
52,15200385,15200301.0,Vlit500385,Bois-de-Raube-Member,5.0
54,15200386,15200301.0,Vlit500386,Montchaibeux-Member,5.0
169,15200387,15200091.0,Vlit500387,Daubrée-Konglomerat,2.0
48,15200388,15201333.0,Vlit500388,Wanderblock-Bildungen,2.0
66,15200389,15200308.0,Vlit500389,Geröllsande,4.0
67,15200390,15200308.0,Vlit500390,Polygene Nagelfluh,4.0
89,15200391,15200311.0,Vlit500391,Muschelsandstein,4.0
90,15200392,15200311.0,Vlit500392,Graue Molasse,4.0
170,15200393,15200387.0,Vlit500393,Daubrée-Kalk,3.0
161,15200394,15200341.0,Vlit500394,Basisbildungen der USM-J,4.0
56,15200395,15200302.0,Vlit500395,Laufen-Juranagelfluh,5.0
57,15200396,15200302.0,Vlit500396,Basler Juranagelfluh,5.0
58,15200397,15200302.0,Vlit500397,Aargauer Juranagelfluh,5.0
59,15200398,15200302.0,Vlit500398,Randen-Juranagelfluh,5.0
68,15200399,15200308.0,Vlit500399,Jensberg-Schichten,4.0
69,15200400,15200399.0,Vlit500400,Rebhubel-Schichten,5.0
70,15200401,15200308.0,Vlit500401,Niedermatt-Formation,4.0
71,15200402,15200308.0,Vlit500402,Belpberg-Formation,4.0
72,15200403,15200408.0,Vlit500403,Pfadflüe-Nagelfluh,5.0
73,15200404,15200408.0,Vlit500404,Sädel-Kalknagelfluh,5.0
74,15200405,15200402.0,Vlit500405,Utzigen-Muschelsandstein,5.0
75,15200406,15200402.0,Vlit500406,Ulmiz-Quarzitnagelfluh,5.0
76,15200407,15200402.0,Vlit500407,Bütschelbach-Nagelfluh,5.0
77,15200408,15200308.0,Vlit500408,Kalchstätten-Formation,4.0
80,15200409,15200309.0,Vlit500409,Freudenberg-Nagelfluh,5.0
81,15200410,15200309.0,Vlit500410,Goldbrunnen-Schichten,5.0
82,15200411,15200309.0,Vlit500411,Dreilinden-Nagelfluh,5.0
83,15200412,15200309.0,Vlit500412,Obere Grenznagelfluh,5.0
86,15200413,15200308.0,Vlit500413,Kirchberg-Formation,4.0
87,15200414,15200308.0,Vlit500414,Grimmelfingen-Formation,4.0
91,15200415,15200311.0,Vlit500415,Chnebelburg-Schichten,4.0
92,15200416,15200418.0,Vlit500416,Meinisberg-Muschelsandstein,5.0
93,15200417,15200418.0,Vlit500417,Brüttelen-Muschelnagelfluh,5.0
