OBJECTID,GEOL_CODE,GERMAN,PARENT_REF,TREE_LEVEL,GEOL_CODE_INT
64,Vlit401033,Rückzugsschotter,15101028.0,4,15101033
181,Vlit402105,kreidiger Kalk,15102034.0,4,15102105
351,Vlit404025,Pseudotachylit,15104002.0,3,15104025
114,Vlit402014,mergeliger Sandstein,15102009.0,4,15102014
9,Vlit401075,dünne Lockermaterialbedeckung,15101001.0,2,15101075
300,Vlit404411,Metaalkalisyenit,15104095.0,4,15104411
376,Vlit404056,Karbonat- und Silikat führendes Gestein,15104053.0,4,15104056
369,Vlit404048,Paragneis,15104041.0,4,15104048
42,Vlit401065,vulkanische Asche,15101061.0,3,15101065
380,Vlit404060,Amphibolit,15104053.0,4,15104060
378,Vlit404058,Granulit,15104053.0,4,15104058
199,Vlit403009,Quarzdiorit,15103005.0,4,15103009
59,Vlit401028,"glazifluviatiles Sediment, undifferenziert",15101026.0,3,15101028
151,Vlit402058,Steinkohle,15102056.0,4,15102058
169,Vlit402087,Boluston,15102086.0,4,15102087
153,Vlit402061,Eisenoolith,15102032.0,3,15102061
119,Vlit402019,Glimmersandstein,15102009.0,4,15102019
279,Vlit404209,Metagrauwacke,15104093.0,4,15104209
101,Vlit402080,"Residualgestein / pedogen überprägtes Gestein, undifferenziert",15102001.0,2,15102080
275,Vlit404205,Metasandstein,15104093.0,4,15104205
38,Vlit401054,"Lignit, palustrisches Sediment",15101050.0,3,15101054
221,Vlit403032,Mikrogabbro,15103026.0,4,15103032
120,Vlit402020,Glaukonitsandstein,15102009.0,4,15102020
52,Vlit401012,"Verwitterungslehm, undifferenziert",15101003.0,3,15101012
81,Vlit401082,Travertin,15101081.0,3,15101082
401,Vlit404086,Hornblenditit,15104084.0,3,15104086
10,Vlit401003,"gravitative Sedimente und Verwitterungsbildungen, undifferenziert",15101001.0,3,15101003
109,Vlit402009,"Sandstein, undifferenziert",15102002.0,3,15102009
249,Vlit403065,tuffitischer Tonstein,15103060.0,4,15103065
384,Vlit404064,Eklogit,15104053.0,4,15104064
302,Vlit404413,Metagabbro,15104095.0,4,15104413
172,Vlit402090,Silcrete,15102086.0,4,15102090
98,Vlit402068,"chemisches Sedimentgestein, undifferenziert",15102001.0,2,15102068
337,Vlit404007,Kluftletten,15104005.0,4,15104007
121,Vlit402021,Nummulitensandstein,15102009.0,4,15102021
25,Vlit401042,Überschwemmungssediment,15101026.0,3,15101042
235,Vlit403049,"Pikrit, Ergussgestein (Effusiva)",15103039.0,4,15103049
239,Vlit403054,Ignimbrit,15103053.0,4,15103054
126,Vlit402027,Mergelstein,15102024.0,4,15102027
107,Vlit402006,Brekzie,15102005.0,4,15102006
144,Vlit402049,Dolomit,15102032.0,3,15102049
160,Vlit402072,Gips,15102070.0,4,15102072
354,Vlit404032,"Tonschiefer, Schiefer",15104031.0,4,15104032
372,Vlit404051,Kinzigit,15104041.0,4,15104051
175,Vlit402094,Krustenkalk,15102092.0,4,15102094
296,Vlit404407,Metaquarzdiorit,15104095.0,4,15104407
405,Vlit404090,Serpentinit,15104084.0,3,15104090
210,Vlit403020,"Pyroxenit, Tiefengestein",15103005.0,4,15103020
301,Vlit404412,Metaquarzgabbro,15104095.0,4,15104412
284,Vlit404214,Metamergel,15104093.0,4,15104214
214,Vlit403024,Granophyr,15103005.0,4,15103024
233,Vlit403047,Trachyt,15103039.0,4,15103047
117,Vlit402017,"Flyschsandstein, Grauwacke",15102009.0,4,15102017
387,Vlit404069,"Metasomatit, undifferenziert",15104027.0,3,15104069
349,Vlit404021,Ultramylonit,15104018.0,4,15104021
342,Vlit404013,tektonische Brekzie (mit Kohäsion),15104010.0,4,15104013
231,Vlit403045,Andesit,15103039.0,4,15103045
324,Vlit404435,Metarhyodazit,15104095.0,4,15104435
250,Vlit403066,Bentonit,15103060.0,4,15103066
200,Vlit403010,Tonalit,15103005.0,4,15103010
360,Vlit404038,Prasinit,15104031.0,4,15104038
197,Vlit403007,Granit,15103005.0,4,15103007
168,Vlit402086,"silikatreiches Gestein, undifferenziert",15102080.0,3,15102086
82,Vlit402001,Sedimentgestein,,1,15102001
195,Vlit403005,"Tiefengestein, undifferenziert",15103003.0,3,15103005
71,Vlit401046,"glazilakustrisches Sediment, undifferenziert",15101044.0,4,15101046
229,Vlit403043,Dazit,15103039.0,4,15103043
288,Vlit404218,Metakarbonat,15104093.0,4,15104218
73,Vlit401048,subaquatisch abgelagerte Moräne (Waterlaid Till),15101046.0,4,15101048
127,Vlit402028,Tonmergelstein,15102024.0,4,15102028
156,Vlit402065,phosphoritreicher Kalkstein,15102063.0,4,15102065
356,Vlit404034,Chloritschiefer,15104031.0,4,15104034
162,Vlit402075,"Karbonat, undifferenziert",15102068.0,3,15102075
406,Vlit404091,"Quarzit, monomineralisches Gestein",15104084.0,3,15104091
379,Vlit404059,Rodingit,15104053.0,4,15104059
219,Vlit403030,Aplit,15103026.0,4,15103030
196,Vlit403006,Alkalogranit,15103005.0,4,15103006
338,Vlit404008,tektonische Brekzie (kohäsionslos),15104005.0,4,15104008
312,Vlit404423,Metaganggestein,15104095.0,4,15104423
317,Vlit404428,Metamikrodiorit,15104095.0,4,15104428
345,Vlit404016,Ultrakataklasit,15104010.0,4,15104016
182,Vlit402106,bioklastischer Kalk,15102034.0,4,15102106
124,Vlit402025,Siltstein,15102024.0,4,15102025
133,Vlit402037,Mikrit,15102034.0,4,15102037
395,Vlit404078,Metatexit mit Netztextur,15104074.0,4,15104078
167,Vlit402084,Verwitterungsbildungen (Siderolithische Bildungen),15102080.0,3,15102084
148,Vlit402054,"Hornstein, Chert",15102051.0,4,15102054
359,Vlit404037,Kalkschiefer,15104031.0,4,15104037
362,Vlit404041,"Gneis, undifferenziert",15104026.0,4,15104041
198,Vlit403008,Granodiorit,15103005.0,4,15103008
134,Vlit402038,Arenit,15102034.0,4,15102038
164,Vlit402077,"Kalksinter, Quelltuff",15102075.0,4,15102077
330,Vlit404441,Metabasalt,15104095.0,4,15104441
243,Vlit403058,Aschentuff,15103053.0,4,15103058
34,Vlit401051,"palustrisches Sediment, undifferenziert",15101050.0,3,15101051
336,Vlit404006,Gesteinsmehl,15104005.0,4,15104006
226,Vlit403040,Alkalirhyolith,15103039.0,4,15103040
159,Vlit402071,Anhydrit,15102070.0,4,15102071
54,Vlit401014,"Hanglehm, Schwemmlehm",15101012.0,4,15101014
79,Vlit401080,Quelltuff,15101081.0,3,15101080
18,Vlit401017,Rutschmasse,15101003.0,3,15101017
145,Vlit402051,"kieseliges Gestein, undifferenziert",15102032.0,3,15102051
63,Vlit401032,Vorstossschotter,15101028.0,4,15101032
287,Vlit404217,Metaradiolarit,15104093.0,4,15104217
246,Vlit403062,tuffitisches Konglomerat,15103060.0,4,15103062
113,Vlit402013,kieseliger Sandstein,15102009.0,4,15102013
143,Vlit402047,Süsswasserkalk,15102034.0,4,15102047
244,Vlit403060,"Tuffit, undifferenziert",15103036.0,3,15103060
367,Vlit404046,agmatischer Gneis,15104041.0,4,15104046
403,Vlit404088,"Pyroxenit, monomineralisches Gestein",15104084.0,3,15104088
69,Vlit401040,"Schotter, alluvion",15101039.0,4,15101040
111,Vlit402011,Kalksandstein,15102009.0,4,15102011
309,Vlit404420,nephelinitischer Metasyenit,15104095.0,4,15104420
240,Vlit403055,Pyroklastische Brekzie,15103053.0,4,15103055
357,Vlit404035,Glimmerschiefer,15104031.0,4,15104035
389,Vlit404071,Greisen,15104069.0,4,15104071
188,Vlit403003,"Intrusivgestein, undifferenziert",15103001.0,2,15103003
77,Vlit401072,Deponie,15101069.0,4,15101072
273,Vlit404203,Metabrekzie,15104093.0,4,15104203
217,Vlit403028,Rhyolithporphyr,15103026.0,4,15103028
280,Vlit404210,Geröll führender Metasandstein,15104093.0,4,15104210
234,Vlit403048,Basalt,15103039.0,4,15103048
132,Vlit402036,Spatkalk,15102034.0,4,15102036
136,Vlit402040,Riffkalk,15102034.0,4,15102040
40,Vlit401062,"äolischer Sand, Flugsand",15101061.0,3,15101062
327,Vlit404438,Metaandesit,15104095.0,4,15104438
204,Vlit403014,Quarzgabbro,15103005.0,4,15103014
131,Vlit402035,Kieselkalk,15102034.0,4,15102035
115,Vlit402015,toniger Sandstein,15102009.0,4,15102015
222,Vlit403033,Lamprophyr,15103026.0,4,15103033
311,Vlit404422,Metagranophyr,15104095.0,4,15104422
58,Vlit401024,Moräne auf Gletscher oder Toteis (Glacier or Dead Ice covered by Till),15101021.0,4,15101024
398,Vlit404081,Diatexit mit Schollentextur,15104074.0,4,15104081
316,Vlit404427,Metaaplit,15104095.0,4,15104427
277,Vlit404207,Metapsammit,15104093.0,4,15104207
72,Vlit401047,"Deltasediment, glazilakustrisches Sediment",15101046.0,4,15101047
390,Vlit404072,Gneis mit Feldspatblasten,15104069.0,4,15104072
344,Vlit404015,(Meso)Kataklasit,15104010.0,4,15104015
262,Vlit404027,"Gestein der Regional- und Kontaktmetamorphose, undifferenziert",15104001.0,2,15104027
315,Vlit404426,Metapegmatit,15104095.0,4,15104426
335,Vlit404005,"Kakirit, undifferenziert",15104002.0,3,15104005
308,Vlit404419,Metaperidotit,15104095.0,4,15104419
355,Vlit404033,Serizitschiefer,15104031.0,4,15104033
213,Vlit403023,Essexit,15103005.0,4,15103023
230,Vlit403044,Quarzandesit,15103039.0,4,15103044
165,Vlit402078,"Kalksinter, Travertin",15102075.0,4,15102078
149,Vlit402056,"Kohle, undifferenziert",15102032.0,3,15102056
299,Vlit404410,Metasyenit,15104095.0,4,15104410
377,Vlit404057,silikatreicher Marmor,15104053.0,4,15104057
202,Vlit403012,Syenit,15103005.0,4,15103012
237,Vlit403051,Karbonatit,15103039.0,4,15103051
171,Vlit402089,Quarzsand,15102086.0,4,15102089
370,Vlit404049,Orthogneis,15104041.0,4,15104049
147,Vlit402053,Spiculit,15102051.0,4,15102053
31,Vlit401057,"Deltasediment, lakustrisches Sediment",15101044.0,3,15101057
6,Vlit401050,palustrisches Sediment,15101001.0,2,15101050
328,Vlit404439,Metaalkalitrachyt,15104095.0,4,15104439
215,Vlit403026,"Ganggestein, undifferenziert",15103003.0,3,15103026
