OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,TREE_LEVEL,DESCRIPTION,GEOLCODE
23,{A99F5693-F2D4-4C1C-A54E-B5598D05893F},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Uetliberg-Fm.,15200276
24,{8E3ECDC7-0278-450D-A2EF-B435E0162196},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Uetliberg-Fm.: Uetliberggipfel-Nagelfluh,15200277
25,{06EE5B72-947E-4FF8-92DD-E30684F117B8},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Uetliberg-Fm.: Uetliberg-Mergel,15200278
26,{9F43F937-B016-42B9-98A1-8BDA5700BF7F},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Pfannenstiel-Fm.: Falätschen-Mergel,15200279
27,{6FE4A254-A09E-4A4F-9076-35E21FDCAD2B},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Pfannenstiel-Fm.,15200280
28,{7B230E6A-E805-48D7-9B59-A76C10DC8EF3},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Zürich-Fm.,15200281
29,{D76AE6DF-DFB2-49FD-8308-E4218EF00B43},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Zürich-Fm.: Leimbach-Bentonit,15200282
30,{B1AC6E29-D674-4DD8-9B70-40F843A17475},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Zürich-Fm.: Rütschlibach-Riedhof-Süsswasserkalk,15200283
31,{5D37BCD7-9CA7-4B44-9C00-6FE3D3412A73},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Zürich-Fm.: Winterthur-Bentonit,15200284
32,{8462164D-1980-456E-A2A1-73D912E679FD},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Zürich-Fm.: Aeugstertal-Bentonit,15200285
33,{8E6C6E93-5D96-4631-AC0B-B7FF0AC958D6},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Zürich-Fm.: Äntlisberg-Doldertobel-Süsswasserkalk,15200286
34,{A29C409F-49C2-4AB5-957A-F4A4861C7F8B},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Zürich-Fm.: Wehrenbach-Höckler-Süsswasserkalk,15200287
35,{DAD545C6-57FC-4AB5-BB3F-6C0E0BCA46DF},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Meilen-Fm.: Küsnacht-Bentonit,15200288
36,{E468CE82-C40F-4351-9CD8-B876BE43E685},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Meilen-Fm.: Urdorf-Bentonit,15200289
37,{79720DEC-58F2-437C-A3E4-6DFA3742CD1C},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Appenzellergranit-Leitniveau,15200290
38,{4EA63992-073E-49B4-A8CC-15222A2349E5},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Appenzellergranit-Leitniveau: Abtwil-Konglomerat,15200291
39,{FE3B0A91-AAC3-4182-94BF-4FFF34A0B825},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Appenzellergranit-Leitniveau: Hüllistein-Konglomerat,15200292
40,{D8406B59-B3C7-4C81-82A8-760D4C3F86DD},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Appenzellergranit-Leitniveau: Degersheim-Kalknagelfluh,15200293
41,{6BA06ECA-37BD-4AC1-A9F8-E62DD907A3DA},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Appenzellergranit-Leitniveau: Meilen-Kalk,15200294
42,{677F78AE-442B-4238-B49E-EFC31EC474A5},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,OSM-I,15200295
43,{0E12751F-B7D5-4EF8-AB03-9C90FCA77A9D},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Lichtensteig-Fm.,15200296
44,{8745B943-BAF5-4A54-98EF-8206C17DA8FA},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Hörnli-Fm.,15200297
45,{A79904F9-10A2-4BF6-8D96-722CEDB99BF0},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Guggershorn-Fm.,15200298
46,{C35A051A-9FCD-4F74-A346-056EB3EC55A0},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Käpfnach-Fm.: Horgen-Süsswasserkalk,15200299
47,{C7117E48-CB5E-4751-903D-A5DB02FD6AD1},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,OSM-J,15200300
49,{D66F81AD-221A-4408-BD31-BEF3FC51F08D},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Bois-de-Raube-Fm.,15200301
55,{82C9B52E-5266-4414-88C8-8A980BEBBE76},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,OSM-J: Juranagelfluh,15200302
61,{F91AE767-6C2C-4DAE-94CB-F66C8B890D99},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,6.0,Le-Locle-Fm.: Combe-Girard Mb.: Combe-Girard-Bentonit,15200304
62,{55ED7E46-A159-4086-831E-F64F69653CA4},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Vermes-Süsswasserkalk,15200305
63,{3E123795-3ED4-4F1F-A31F-39BB7BDCFADB},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Crêt-du-Locle-Fm.: Gompholitfazies,15200306
64,{BB737298-A539-430C-BB12-47B76670EFBA},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,OMM (Obere Meeresmolasse),15200307
65,{BB2AA629-56A4-42DB-B977-974AF420C835},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,OMM-II,15200308
78,{158F63F5-82D5-4C26-A3DB-89F4051D8618},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,St.-Gallen-Fm.,15200309
85,{2FD001DA-19B8-40FA-A7BE-997C0792EC18},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,St.-Gallen-Fm.: Staffelbach-Grobsandstein,15200310
88,{EABFBD9A-1061-454D-A761-B94B41282394},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,OMM-I,15200311
98,{5E4A4F48-9974-490C-BF8F-20D4DE845B0D},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Luzern-Fm.,15200312
99,{2F39657D-9D8F-425C-A562-2C68D30E43CA},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Luzern-Fm.: Safenwil-Muschelsandstein,15200313
101,{C85F03FC-0057-4F62-926E-10D6A108627A},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,USM (Untere Süsswassermolasse),15200314
102,{05AD86ED-3736-48FB-90CD-B5FF04CE8315},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Höhronen-Nagelfluh,15200315
103,{4176E25C-FFB2-44E6-8815-6FB4A1F18C43},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Kronberg-Nagelfluh,15200316
124,{FAD27C51-C90F-4F82-905C-B589A720BC4D},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Cornalle-Sandstein,15200317
125,{FE5CA5E3-2B5D-46D1-AD90-DED661932650},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Mont-Pèlerin-Nagelfluh,15200318
104,{70EDAFA5-DCEF-43C5-BC87-9136B2E41368},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Speer-Fm.,15200319
105,{7CAEE083-0435-4208-98D5-0BB9A3F79F93},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Thun-Fm.,15200320
106,{6E301D7A-8D89-4586-9D6D-9D8BDFE3B598},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Thun-Fm.: Gunten-Quarzitnagelfluh,15200321
107,{4689C338-3D9F-4AE7-A13E-C787A0762420},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Rigi-Fm.,15200322
108,{591B3806-73C9-4377-A321-135365C1399A},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Rigi-Fm.: Scheidegg-Nagelfluh,15200323
109,{DA430F1C-75EB-4D2E-A4EF-F491B31AE934},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Rigi-Fm.: Bunte Rigi-Nagelfluh,15200324
