OBJECTID,UUID,LITSTRAT_FORMATION_BANK,GEOL_MAPPING_UNIT,CHRONO_TOP,CHRONO_BASE,LITHO_MAIN,LITHO_SEC,LITHO_TER,CORRELATION
2185,{C1141DA2-EF21-41F3-B3F2-E5BEF6775AE2},15255172.0,15203280.0,15001087.0,15001087.0,15111186.0,15111277.0,,15285049.0
2186,{3753FFC4-63EB-4919-96C1-25F6BC00E2BC},15255179.0,15203281.0,15001087.0,15001088.0,15111297.0,,,15285049.0
3042,{F61CF8FA-2A57-4E1E-8FEC-0B5300F98183},15255206.0,15203282.0,15001029.0,15001051.0,15111089.0,15111005.0,,15285024.0
2187,{8EFB946C-8145-4490-8FCE-47E76F3DC35D},15255039.0,15203283.0,15001044.0,15001053.0,15111044.0,15111017.0,15111102.0,15285025.0
2188,{55A65E46-A912-4D51-A80B-D7E790CA3F4D},15255025.0,15203284.0,15001042.0,15001042.0,15111028.0,15111066.0,,15285025.0
2189,{7804622C-24C8-42C1-8D87-ACF42E8CB4CF},,15203285.0,15001034.0,15001040.0,15111044.0,15111028.0,15111132.0,15285025.0
2190,{E4E5525B-3A28-4C0C-9755-FEDA96970B5D},15255022.0,15203286.0,15001034.0,15001037.0,15111132.0,15111044.0,,15285025.0
2191,{5B1E2630-C060-4BC0-A840-5171CADCBBFC},15255023.0,15203287.0,15001034.0,15001037.0,15111028.0,15111044.0,15111132.0,15285025.0
2192,{1422226B-F20C-4F6F-BE96-BB19974AD02D},15255024.0,15203288.0,15001037.0,15001040.0,15111044.0,15111132.0,,15285025.0
2193,{8BD476A5-C7BD-440F-882E-C893E7AB2CE2},,15203291.0,15001044.0,15001056.0,15111221.0,15111229.0,15111132.0,15285031.0
2194,{FC1982F9-A951-4D99-8136-12D953F1ECCB},,15203292.0,15001054.0,15001059.0,15111044.0,15111089.0,15111028.0,15285025.0
2195,{AF0996C0-E298-4F43-AA58-58FB7015432F},15255040.0,15203293.0,15001052.0,15001052.0,15111017.0,15111044.0,15111102.0,15285025.0
3044,{B031F6BE-1215-47D3-A181-B6360A679CB1},15254029.0,15203294.0,15001120.0,15001120.0,15111529.0,,,15287002.0
3045,{76DEEC26-7FD6-46D7-8589-315E67677189},15254041.0,15203295.0,15001110.0,15001120.0,15111520.0,,,15287001.0
3046,{11D67EBA-F84B-4144-B0BF-4929752CDC82},15254048.0,15203296.0,15001110.0,15001120.0,15111520.0,,,15287001.0
2948,{BA07A7F6-95D9-4C40-BE58-917CF889008B},15254030.0,15203297.0,15001091.0,15001091.0,15111510.0,,,15287002.0
2949,{DB35D49E-E944-49E4-9118-A4D721615049},15254017.0,15203298.0,15001091.0,15001091.0,15111518.0,15111537.0,,15287001.0
2952,{6B7A5333-D702-4024-9C87-EB9EABB16487},15255256.0,15203299.0,15001119.0,15001119.0,15111529.0,15111410.0,,15287001.0
2942,{841D9C82-8120-4691-A478-F7D2EC5FD2A5},15255084.0,15203300.0,15001044.0,15001052.0,15111044.0,15111618.0,15111028.0,15285025.0
2960,{C42FBBAE-4AA0-4572-8C7C-D27D669D0BA4},15255084.0,15203301.0,15001044.0,15001044.0,15111044.0,,,15285025.0
2939,{FE2DD499-CF72-4427-AEB7-7CA194CCBE3B},15255084.0,15203302.0,15001044.0,15001044.0,15111028.0,,,15285025.0
