OBJECTID,DESCRIPTION,TREE_LEVEL
634,Taveyannaz-Fm.,3.0
615,Helvetikum: Paläogen,1.0
641,Stad-Fm.,2.0
645,Stad-Fm.: Wängen-Kalk,3.0
642,Stad-Fm.: Jochstock-Konglomerat,3.0
646,Sanetsch-Fm.,2.0
647,Sanetsch-Fm.: Pierredar-Kalk,3.0
648,Sanetsch-Fm.: Tsanfleuron-Mb.,3.0
649,Sanetsch-Fm.: Diablerets-Mb.,3.0
650,Niederhorn-Fm.,2.0
651,Niederhorn-Fm.: Gemmenalp-Kalk,3.0
652,Niederhorn-Fm.: Hohgant-Sandstein,3.0
653,Niederhorn-Fm.: Hohgant-Sandstein: Wagenmoos-Bk.,4.0
654,Wildstrubel-Fm.,2.0
655,Wildstrubel-Fm.: Schimberg-Mb.,3.0
656,Wildstrubel-Fm.: Tierberg-Mb.,3.0
657,Wildstrubel-Fm.: Küblibad-Mb.,3.0
658,Klimsenhorn-Fm.,2.0
659,Klimsenhorn-Fm.: Fruttli-Mb.,3.0
660,Klimsenhorn-Fm.: Band-Mb.,3.0
661,Klimsenhorn-Fm.: Fräkmünt-Mb.,3.0
662,Bürgen-Fm.,2.0
663,Bürgen-Fm.: Foribach-Mb.,3.0
664,Bürgen-Fm.: Mattgrat-Mb.,3.0
665,Bürgen-Fm.: Scharti-Mb.,3.0
667,Euthal-Fm.,2.0
666,Bürgen-Fm.: Steinbach-Mb.,3.0
668,Euthal-Fm.: Einsiedeln-Mb.,3.0
669,Euthal-Fm.: Batöni-Mb.,3.0
670,Euthal-Fm.: Chruteren-Mb.,3.0
671,Euthal-Fm.: Fliegenspitz-Mb.,3.0
673,Siderolithikum: Grindelwald-Marmor,2.0
674,Niederhorn-Fm.: Hohgant-Sandstein: Mürren-Brekzie,3.0
675,Siderolithikum: Dünden-Konglomerat,2.0
676,Siderolithikum: Rosenlaui-Marmor,2.0
677,Helvetikum: Kreide,1.0
678,Wang-Fm.,2.0
679,Amden-Fm.,2.0
680,Seewen Fm.,2.0
681,Seewen-Fm.: Choltal-Mb.,3.0
682,Garschella-Fm.,2.0
683,Garschella-Fm.: Selun-Mb.,3.0
684,Garschella-Fm.: Selun-Mb.: Kamm-Bk.,4.0
685,Garschella-Fm.: Selun-Mb.: Aubrig-Sch.,4.0
686,Garschella-Fm.: Selun-Mb.: Wannenalp-Bk.,4.0
687,Garschella-Fm.: Selun-Mb.: Sellamatt-Sch.,4.0
688,Garschella-Fm.: Selun-Mb.: Plattenwald-Bk.,4.0
689,Garschella-Fm.: Selun-Mb.: Durschlägi-Bk.,4.0
690,Garschella-Fm.: Selun-Mb.: Niederi-Sch.,4.0
691,Garschella-Fm.: Selun-Mb.: Twäriberg-Bk.,4.0
692,Garschella-Fm.: Selun-Mb.: Klaus-Bk.,4.0
693,Garschella-Fm.: Rankweil-Mb.,3.0
694,Garschella-Fm.: Brisi-Mb.,3.0
695,Garschella-Fm.: Brisi-Mb.: Kalkige Fazies,4.0
696,Garschella-Fm.: Brisi-Mb.: Sandige Fazies,4.0
697,Garschella-Fm.: Brisi-Mb.: Gams-Sch.,4.0
698,Garschella-Fm.: Brisi-Mb.: Luitere-Bk.,4.0
699,Garschella-Fm.: Freschen-Mb.,3.0
700,Garschella-Fm.: Freschen-Mb.: Hochkugel-Sch.,4.0
701,Garschella-Fm.: Grünten-Mb.,3.0
702,Garschella-Fm.: Grünten-Mb.: Rohrbachstein-Bk.,4.0
703,Schrattenkalk-Fm.,2.0
704,Schrattenkalk-Fm.: Rawil-Mb.,3.0
705,Tierwis-Fm.,2.0
706,Tierwis-Fm.: Chopf-Bk.,3.0
707,Tierwis-Fm.: Drusberg-Mb.,3.0
708,Tierwis-Fm.: Altmann-Mb.,3.0
709,Helvetischer Kieselkalk,2.0
710,Helvetischer Kieselkalk: Chriesiloch-Echinodermenkalk,3.0
711,Helvetischer Kieselkalk: Lidernen-Mb.,3.0
712,Helvetischer Kieselkalk: Gemsmättli-Bk.,3.0
713,Helvetischer Kieselkalk: Rahberg-Bk.,3.0
714,Betlis-Fm.,2.0
715,Betlis-Fm.: Pygurus-Mb.,3.0
716,Betlis-Fm.: Spitzern-Mb.,3.0
717,Betlis-Fm.: Büls-Bk.,4.0
718,Sichel-Kalk,2.0
719,Diphyoides-Kalk,2.0
720,Vitznau-Mergel,2.0
721,Öhrli-Fm.,2.0
722,Palfris-Fm.,2.0
723,Zementstein-Fm.,2.0
724,Zementstein-Fm.: Grasspass-Mb.,3.0
725,Zementstein-Fm.: Gassen-Kalk,3.0
727,Helvetikum: Malm,2.0
728,Quinten-Fm.,3.0
729,Quinten-Fm.: Tros-Kalk,4.0
5190,Öligraben-Fm.,3.0
5191,Studweid-Fm.,3.0
5837,Rossemaison-Fm.,2.0
5838,Schwaningen-Merenbach-Rhyolith,1.0
5839,Schwaningen-Weizen-Granit,1.0
5840,Etzgen-Granit,1.0
5842,USM-I: Kalk-Dolomit-Nagelfluh,5.0
6761,Hornbüel-Melange,1.0
6770,Kalter-Wangen-Fm.,3.0
6771,Baltersweil-Nagelfluh,3.0
6772,Netzbachtal-Nagelfluh,3.0
6773,Rocher-des-Hirondelles-Fm.,3.0
6774,Rocher-des-Hirondelles-Fm.: Fort-de-l'Ecluse-Mb.,4.0
6775,Gorges-de-l'Orbe-Fm.: Bôle-Mb.,4.0
6776,Gorges-de-l'Orbe-Fm.: Montcherand-Mb.,4.0
7081,Vuache-Fm.: Calcaire roux s.s.,3.0
7085,Schwarzbach-Fm.,4.0
7086,Wangen- und Letzi-Mb.,5.0
7410,Grand-Essert- bis Narlay-Fm.,2.0
7411,Goldberg- bis Vuache-Fm.,2.0
7412,Rocher-des-Hirondelles-Fm.: Bellegarde-Bk.,5.0
899,Gärsthorn-Gneiskomplex: Engi-Granit,2.0
900,Calmut-Gneiskomplex,2.0
901,Val-Pigniu-Gneiskomplex,2.0
902,Urseren-Garvera-Zone: Permo-Karbon,2.0
903,Goms-Gneiskomplex,2.0
904,Ausserbinn-Piz-Cavel-Zone,1.0
856,Prosa-Granit,3.0
857,Val-Tremola-Granit,3.0
907,Leventina-Gneis,2.0
908,Lucomagno-Decke: Prävariszischer Orthogneis,2.0
909,Lucomagno-Decke: Prävariszischer Paragneis,2.0
765,Val-Stgira-Riffmarmor,4.0
766,Piz-Terri-Lunschania: Fossilmarmor,3.0
768,Piz-Terri-Lunschania: Trias,2.0
616,Ultrahelvetischer Flysch,2.0
617,Sardona-Decke: Melange,3.0
618,Martinsmad-Fm.,3.0
619,Martinsmad-Fm.: Supraquarzitischer Flysch,4.0
620,Martinsmad-Fm.: Sardona-Mb.,4.0
621,Martinsmad-Fm.: Infraquarzitischer Flysch,4.0
622,Meilleret-Fm.,3.0
624,Lavtina-Sandstein,3.0
625,Blattengrat-Sandstein,3.0
626,Burg-Sandstein,3.0
633,Elm-Fm.: Val-d'Illiez-Sandstein,4.0
4371,Arpette-Leukogranit,4.0
4201,Gärsthorn-Gneiskomplex: Bitschji-Augengneis,5.0
4202,Gärsthorn-Gneiskomplex: Geimen-Augengneis,5.0
4203,Mont-Blanc-Massiv: Prävariszische Migmatite,4.0
4204,Mont-Blanc-Massiv: Prävariszisches Grundgebirge: Amphibolit-reiche Fazies,4.0
4205,Mont-Blanc-Massiv: Prävariszisches Grundgebirge: Mylonit,4.0
4206,Morcles-Mikrogranit,4.0
4330,Aiguilles-Rouges-Massiv: Prävariszisches Migmatite,4.0
4208,Fully-Gneiskomplex,4.0
4209,Hinterbalm-Granit,4.0
4333,Balmenegg-Granit,4.0
4334,Zentraler-Aare-Granit: Unter-der-Flue-Varietät,4.0
4335,Pardatschas-Granit,
4336,Rossbodenstock-Diorit,4.0
4337,Val-da-Surplattas-Diorit,4.0
4577,Tscharren-Fm.: Rinderbiel-Mikrogranit,3.0
4580,Leventina-Lucomagno-Decke: Trias: Quarzit,4.0
4584,Kapfen-Fm.,4.0
4586,Kapfen-Fm.: Sandstein-dominierte Fazies,5.0
4589,Kärpf-Fm.: Kärpfgipfel-Sernifit,5.0
4632,Fulen-Fm.,4.0
4633,Karrenstock-Fm.: Glattmatt-Mb.,5.0
4596,Mären-Fm.: Grisch-Mb.: Hanenstock-Keratophyr,6.0
4597,Mären-Fm.: Grisch-Mb.: Sonnenberg-Horizonte,6.0
4636,Mären-Fm.: Grisch-Mb.: Chamseeli-Konglomerat,6.0
4637,Murgtal-Fm.: Chartegg-Mb.: Rotberg-Sandstein,6.0
4638,Murgtal-Fm.: Seez-Mb.,5.0
4639,Murgtal-Fm.: Gufelialp-Mb.,5.0
4640,Ilanz-Verrucano s.s.,4.0
4641,Ilanz-Verrucano: Buntgefleckte Schiefer,5.0
4642,Tavetsch-Decke: Perm,3.0
4643,Windgällen-Fm.: Mikrogranit,5.0
4644,Bifertengrätli-Fm.: Sandalp-Rhyolith,5.0
4645,Tscharren-Fm.: Tuffitische Fazies,3.0
4646,Tscharren-Fm.: Ignimbritische Fazies,3.0
4647,Euthal-Fm.: Guschakopf-Sandstein,3.0
4648,Quinten-Fm.: Gonzen-Eisenerzhorizont,5.0
4901,Schabell-Melange,2.0
4902,Taveyannaz-Fm.: Dachschiefer-Fazies,5.0
4903,Helvetischer Kieselkalk: Oberer Teil,5.0
4904,Helvetischer Kieselkalk: Unterer Teil,5.0
4905,Helvetischer Kieselkalk: Basisschiefer,5.0
4940,Torrenthorn-Fm.: Torrentalp-Mb.: Schiefer-Fazies,6.0
4941,Torrenthorn-Fm.: Torrentalp-Mb.: Spatkalk-Fazies,6.0
4841,Torrenthorn-Fm.: Torrentalp-Mb.: Sandstein-Fazies,6.0
4842,Torrenthorn-Fm.: Galm-Mb.: Spatkalk-Fazies,6.0
4843,Torrenthorn-Fm.: Galm-Mb.: Sandstein-Fazies,6.0
4844,Meilleret-Fm.: Iserin-Konglomerat,4.0
4845,Meilleret-Fm.: Biodetritischer Kalkstein,4.0
4852,Meilleret-Fm.: Arkose,4.0
4847,Meilleret-Fm.: Basales Konglomerat,4.0
4848,Bommerstein-Fm.: Glockhaus-Mb.: Grenzquarzit,6.0
4849,Telltistock-Granit,4.0
5168,Öhrli-Fm.: von Siderolithikum durchsetzt,3.0
5169,Zentraler-Aare-Granit: Beesten-Varietät,3.0
5170,Diechtergletscher-Fm.: Garwiidi-Diorit,3.0
5171,Alp-Crap-Ner-Granit,2.0
5172,Innertkirchen-Migmatit: Permisch verwittert,3.0
5173,Erstfeld-Gneiskomplex: Permisch verwittert,3.0
5174,Martinsmad-Fm.: Supraquarzitischer Flysch: Suren-Flysch,5.0
5175,Stad-Fm.: Spirstock-Mb.: Obere Sandsteine,4.0
5176,Stad-Fm.: Spirstock-Mb.: Blockmergel,4.0
5177,Stad-Fm.: Spirstock-Mb.: Untere Sandsteine,4.0
5178,Helvetischer Kieselkalk: Ringgenberg-Sch.,6.0
5179,Quinten-Fm.: Brekziöse Fazies,4.0
5491,Schattwald-Mergelkalk,1.0
5492,Elm- und Matt-Fm.,3.0
5493,Elm- und Matt-Fm.: Quarzsandstein,4.0
5510,Lötschental-Gneiskomplex: Muskovitgneis,3.0
5511,Lötschental-Gneiskomplex: Migmatitischer Biotitgneis,3.0
5481,Lötschental-Gneiskomplex: Chloritschiefer,3.0
5482,Ofenhorn-Stampfhorn-Gneiskomplex: Gebänderter Biotitgneis,3.0
5483,Ofenhorn-Stampfhorn-Gneiskomplex: Migmatit,3.0
5484,Ofenhorn-Stampfhorn-Gneiskomplex: Biotitgneis,3.0
5485,Ofenhorn-Stampfhorn-Gneiskomplex: Orthogneis,3.0
5486,Bäregg-Gneiskomplex: Mylonitischer Orthogneis,2.0
5487,Bäregg-Gneiskomplex: Mylonitischer Paragneis,2.0
5488,Bäregg-Gneiskomplex: Metavulkanite,2.0
5801,Grimsel-Granodiorit: Aplitische Randfazies,3.0
5802,Voralp-Granit: Saure Randfazies,3.0
5803,Tamina-Gneiskomplex,2.0
5804,Tamina-Gneiskomplex: Schiefriger Biotitgneis,3.0
5805,Tamina-Gneiskomplex: Mylonit,3.0
5806,Innertkirchen-Migmatit: Marmor,3.0
5807,Guttannen-Gneiskomplex: Migmatit,3.0
5808,Guttannen-Gneiskomplex: Amphibolit-reiche Fazies,3.0
5809,Guttannen-Gneiskomplex: Aplitischer Granit,3.0
5810,Guttannen-Gneiskomplex: Marmor,3.0
5811,Guttannen-Gneiskomplex: Ultramafisches Gestein,3.0
5812,Ofenhorn-Stampfhorn-Gneiskomplex: Schollenamphibolit-reiche Fazies,3.0
5813,Ofenhorn-Stampfhorn-Gneiskomplex: Aplitischer Granit,3.0
5814,Ofenhorn-Stampfhorn-Gneiskomplex: Schollenamphibolit,3.0
5815,Ofenhorn-Stampfhorn-Gneiskomplex: Ultramafisches Gestein,3.0
5816,Bommerstein- und Reischiben-Fm.,2.0
5817,Mels- und Röti-Fm.,2.0
5818,Guttannen-Gneiskomplex: Schierfriger Biotit-Chlorit-Serizit-Gneis,3.0
6444,Zettenalp-Trochematt-Melange,1.0
6445,Laubersmad-Flysch,1.0
6446,Stad-Fm.: Quarzsandstein,3.0
6447,Euthal-Fm.: Einsiedeln-Mb.: Quarzsandstein,4.0
6448,Schrattenkalk-Fm.: vermergelt,3.0
6449,Stad-Fm.: Wängen-Kalk: Lithothamnienkalk-Fazies,4.0
6450,Euthal-Fm.: Einsiedeln-Mb.: Alveolinenkalk-Fazies,4.0
6451,Niederhorn-Fm.: Hohgant-Sandstein: Sandkalk und Kalk,4.0
6452,Interne Einsiedeln-Schuppen: Tektonisches Melange,1.0
6453,Bürgen- und Wildstrubel-Fm.,2.0
6441,Einsiedeln- und Steinbach-Mb.,2.0
6456,Stad-Fm.: e6,3.0
7097,Stgir- und Inferno-Fm.,3.0
7098,Quinten-Fm.: Oberer Quintner Kalk: Korallenkalk,5.0
7099,Quinten-Fm.: Oberer Quintner Kalk: Unterer Kalk,5.0
7100,Prodkamm- bis Sexmor-Fm.,3.0
7101,Plattenzüg-Fm.,2.0
7102,Zemenstein- bis Garschella Fm.,2.0
7103,Euthal-Fm.: Vasanachopf-Mb,3.0
7734,Pfäfers-Fm.,2.0
5494,Nordhelvetische Flysch-Gr.: Schiefriger Tonstein,3.0
5495,Tierwis-Fm.: Schiefrige Fazies,3.0
5496,Tierwis-Fm.: Kalkige Fazies,3.0
5497,Bommerstein-Fm.: Glockhaus-Mb.: Schiefriger Eisensandstein,5.0
5498,Helvetikum: Trias: Dolomit,2.0
5499,Helvetikum: Trias: Rauwacke,2.0
5500,Helvetikum: Trias: Gips,2.0
5501,Baltschieder-Granodiorit: Biotittonalit,3.0
5502,Baltschieder-Granodiorit: Hornblende Biotittonalit,3.0
5503,Erstfeld-Gneiskomplex: Biotit-Plagioklasgneis,3.0
5504,Erstfeld-Gneiskomplex: Orthogneis,3.0
5505,Erstfeld-Gneiskomplex: Migmatit,3.0
5506,Guttannen-Gneiskomplex: Paragneis,3.0
5507,Guttannen-Gneiskomplex: Orthogneis,3.0
5508,Guttannen-Gneiskomplex: Biotit-Chloritschiefer,3.0
5509,Guttannen-Gneiskomplex: Chlorit-Serizitschiefer,3.0
635,Muot-da-Rubi-Fm.,2.0
636,Muot-da-Rubi-Fm.: Ahornen-Mb.,3.0
637,Muot-da-Rubi-Fm.: Kistenstöckli-Mb.,3.0
638,Muot-da-Rubi-Fm.: Ghölzwald-Mb.,3.0
639,Muot-da-Rubi-Fm.: Malor-Mb.,3.0
640,Südelgrabe-Melange,3.0
643,Stad-Fm.: Kleintal-Konglomerat,3.0
644,Stad-Fm.: Rütenen-Konglomerat,3.0
726,Helvetikum: Jura,1.0
1434,Wang-Fm.: Brekzie,3.0
1435,Schrattenkalk-Fm.: Oberer Teil,3.0
1436,Schrattenkalk-Fm.: Unterer Teil,3.0
1437,Quinten-Fm.: Oberer Quintner Kalk,4.0
1438,Quinten-Fm.: Unterer Quintner Kalk,4.0
1439,Erzegg-Fm.: Planplatte-Eisenoolith,4.0
1440,Bommerstein-Fm.: Geissbach-Konglomerat,5.0
1441,Bommerstein-Fm.: Stöckli-Sandstein,5.0
1442,Infrapräalpines Melange,1.0
1443,Iberg-Melange,2.0
1444,Iberg-Melange: Surbrunnen-Flysch,3.0
1445,Iberg-Melange: Roggenegg-Komplex,3.0
1446,Iberg-Melange: Isentobel-Komplex,3.0
1447,Serhalten-Melange,3.0
1448,Iberg-Melange: Gwürz-Flysch,1.0
1449,Ruestel-Flysch,1.0
1450,Iberg-Melange: Scheidegg-Flysch,1.0
1451,Habkern-Granit,2.0
1452,Infrapräalpines Melange: Gros-Plané-Melange,2.0
1453,Infrapräalpines Melange: Bodevena-Melange,2.0
1454,Subalpiner Flysch,1.0
1455,Torrenthorn-Fm.,3.0
1456,Prodkamm-Fm.: Cardinien-Mb.: Weissgandstöckli-Bk.,5.0
1457,Mären-Fm.: Grisch-Mb.,4.0
1458,Mären-Fm.: Foostock-Mb.,4.0
1459,Murgtal-Fm.,3.0
1460,Vernayaz-Fm.: Dzéman-Mb.,2.0
1461,Zentraler-Aare-Granit: Aplitische Randfazies,3.0
1462,Windgällen-Fm.: Rhyolith,3.0
1463,Bäregg-Gneiskomplex,1.0
1464,Gärsthorn-Gneiskomplex,1.0
1465,Sogn-Placi-Gneiskomplex,1.0
1466,Massa-Gneiskomplex,1.0
1467,Aiguilles-Rouges-Massiv: Mittelvariszische Intrusiva,1.0
1468,Aiguilles-Rouges-Massiv: Frühvariszische Intrusiva,1.0
1469,Aiguilles-Rouges-Massiv: Prävariszisches Grundgebirge,1.0
1470,Chéserys-Gneis,2.0
1471,Mont-Blanc-Massiv: Spät- bis postvariszische Intrusiva,1.0
1472,Mont-Blanc-Massiv: Prävariszisches Grundgebirge,1.0
1473,Alp-Cavradi-Gneiskomplex,2.0
1474,Giubine-Gneiskomplex,2.0
1475,Gotthardt-Decke: Prävariszisches polyzyklisches Grundgebirge,1.0
1476,Goms-Gneiskomplex: Unterwassern-Gneis,3.0
1478,Streifengneis-Komplex: Sassina-Augengneis,2.0
1479,Streifengneis-Komplex: Alp-Ramosa-Granitgneis,2.0
1481,Val-Nalps-Gneiskomplex,2.0
1482,Val-Nalps-Gneiskomplex: Prato-Gneis,3.0
1483,Val-Nalps-Gneiskomplex: Distelgrat-Gneis,3.0
1484,Paradis-Gneiskomplex: Val-Gronda-Augengneis,3.0
1485,Val-Nalps-Gneiskomplex: Fuorcla-Paradis-Serpentinit,3.0
1486,Paradis-Gneiskomplex,2.0
1487,Paradis-Gneiskomplex: Oberstafel-Gneis,3.0
1488,Paradis-Gneiskomplex: Ganneretsch-Gneis,3.0
1489,Paradis-Gneiskomplex: Corandoni-Amphibolit,3.0
